Date,Open,High,Low,Close,Volume
03/01/2013,133.64,134.05,133.31,133.63,8665200
02/01/2013,132.99,133.86,132.89,133.77,9636300
31/12/2012,128.66,130.9,128.54,130.58,12067800
28/12/2012,129.82,130.45,128.97,129.07,8570000
27/12/2012,130.94,131.14,129.34,130.6,8308600
26/12/2012,131.29,131.48,130.47,130.81,3982900
24/12/2012,131.29,131.42,130.97,130.97,1997400
21/12/2012,131.06,132.02,130.83,131.79,11495800
20/12/2012,132.57,133.28,132.27,133.19,5530500
19/12/2012,133.67,133.7,132.6,132.62,5511500
18/12/2012,132.68,133.73,132.38,133.55,6459500
17/12/2012,131.65,132.52,131.63,132.44,4534100
14/12/2012,131.7,132,131.26,131.46,3114300
13/12/2012,132.53,132.72,131.55,131.82,3844500
12/12/2012,132.98,133.34,132.33,132.51,9551800
11/12/2012,132.21,133.12,132.18,132.5,4012700
10/12/2012,131.59,132.01,131.57,131.74,3480900
07/12/2012,131.3,131.61,130.82,131.56,3993200
06/12/2012,130.34,130.8,130.09,130.74,4129400
05/12/2012,129.71,130.82,129.16,130.24,8697300
04/12/2012,129.61,130.14,129.3,129.39,5760400
03/12/2012,130.69,130.8,129.49,129.55,5820800
30/11/2012,130.25,130.46,129.78,130.1,4979600
29/11/2012,130.23,130.54,129.51,130.14,6112800
28/11/2012,128.17,129.75,127.47,129.64,7397000
27/11/2012,129.18,129.65,128.51,128.68,4910000
26/11/2012,129.12,129.52,128.79,129.52,4621000
23/11/2012,128.67,129.91,128.66,129.89,3345800
21/11/2012,127.65,128.22,127.54,128.15,4589400
20/11/2012,127.31,127.87,126.75,127.71,7021800
19/11/2012,126.63,127.68,126.51,127.63,9551500
16/11/2012,125.25,125.77,124.42,125.6,9350400
15/11/2012,125.57,126.05,125.01,125.51,7658000
14/11/2012,127.82,128.04,125.46,125.76,9479400
13/11/2012,127.41,128.92,127.33,127.53,5407200
12/11/2012,128.19,128.54,127.7,128.04,3758200
09/11/2012,127.36,128.79,127.28,127.92,6571600
08/11/2012,129.18,129.68,127.99,127.99,8427500
07/11/2012,131.05,131.05,128.65,129.25,18648300
06/11/2012,131.28,132.63,131.2,132.05,4408300
05/11/2012,130.46,131.13,130.11,130.87,2710700
02/11/2012,132.56,132.61,130.47,130.67,5141300
01/11/2012,131.02,132.44,130.97,131.98,3807400
31/10/2012,131.35,131.59,130.23,130.6,3939600
26/10/2012,130.68,131.23,130.09,130.79,4182600
25/10/2012,131.19,131.35,130.09,130.78,6313100
24/10/2012,131,131.25,130.34,130.5,6097300
