Date,Open,High,Low,Close,Volume
03/01/2013,44.9,45.28,44.84,44.9,66217800
02/01/2013,44.91,45.33,44.78,45.22,101185100
31/12/2012,43.75,44.42,43.67,44.35,49353800
28/12/2012,43.52,43.85,43.49,43.7,42093300
27/12/2012,43.54,43.65,43.2,43.54,41600600
26/12/2012,43.49,43.58,43.29,43.31,25381900
24/12/2012,43.21,43.25,43.09,43.18,18908100
21/12/2012,43.03,43.3,42.97,43.27,66038300
20/12/2012,43.52,43.78,43.39,43.77,57106100
19/12/2012,43.58,43.73,43.48,43.51,50249100
18/12/2012,43.19,43.57,43,43.53,61649000
17/12/2012,43.28,43.51,43.23,43.49,55647600
14/12/2012,43.27,43.46,43.22,43.38,39422900
13/12/2012,43.35,43.47,43.06,43.19,55617900
12/12/2012,43.39,43.65,43.21,43.38,57451400
11/12/2012,43.07,43.32,43.03,43.25,55722500
10/12/2012,42.78,43.11,42.75,43.03,52020900
07/12/2012,42.74,42.82,42.58,42.79,33920200
06/12/2012,42.4,42.69,42.37,42.66,45175200
05/12/2012,42.32,42.58,42.2,42.34,60792500
04/12/2012,41.94,42.12,41.86,41.89,48560100
03/12/2012,42.05,42.05,41.77,41.77,47979700
30/11/2012,41.9,41.92,41.68,41.79,60627600
29/11/2012,41.74,41.95,41.58,41.81,60142000
28/11/2012,41.03,41.55,40.9,41.51,45433200
27/11/2012,41.59,41.65,41.27,41.28,39719300
26/11/2012,41.46,41.64,41.38,41.63,38361700
23/11/2012,41.45,41.68,41.42,41.63,38725400
21/11/2012,40.88,41.04,40.78,40.96,49863200
20/11/2012,40.79,41.04,40.68,41.04,49350300
19/11/2012,40.77,41.14,40.77,41.12,60801400
16/11/2012,40.25,40.44,39.92,40.41,55419900
15/11/2012,40.23,40.41,40.06,40.29,56282800
14/11/2012,40.84,40.88,40.06,40.15,65058700
13/11/2012,40.66,40.98,40.52,40.78,56929600
12/11/2012,41.17,41.31,41.07,41.15,43640500
09/11/2012,40.97,41.33,40.91,41,60594400
08/11/2012,41.41,41.67,40.87,40.92,73473600
07/11/2012,41.79,41.81,41.18,41.44,65258900
06/11/2012,41.91,42.26,41.89,42.13,48097800
05/11/2012,41.55,41.84,41.47,41.8,33477200
02/11/2012,42.05,42.05,41.48,41.6,53942400
01/11/2012,41.54,41.89,41.47,41.82,63484700
31/10/2012,41.33,41.42,41.02,41.15,58457500
26/10/2012,41.27,41.38,41.06,41.21,36208200
25/10/2012,41.67,41.74,41.1,41.53,41000200
24/10/2012,41.41,41.48,41.08,41.08,35063000
23/10/2012,41.24,41.24,40.82,41.04,58436700
22/10/2012,41.86,42.05,41.63,41.9,42518400
19/10/2012,41.89,41.9,41.38,41.5,49582400
18/10/2012,42.06,42.35,41.96,42.15,48731300
17/10/2012,42.06,42.36,41.92,42.27,58925200
16/10/2012,41.78,42.06,41.77,41.94,54306500
