Date,Open,High,Low,Close,Volume
03/01/2013,104.49,105.19,104.31,104.65,1336300
02/01/2013,104.32,104.61,103.44,104.61,3280200
31/12/2012,100.15,101.91,99.81,101.7,1396800
28/12/2012,100.37,100.88,100.1,100.15,917500
27/12/2012,101.11,101.26,99.82,100.86,1014900
26/12/2012,102,102.01,100.87,101,750200
24/12/2012,101.77,101.95,101.49,101.75,586000
21/12/2012,101.33,102.11,101.18,102.03,1407600
20/12/2012,102.22,102.81,101.92,102.81,1449000
19/12/2012,102.39,102.57,101.98,102.09,1032500
18/12/2012,101.61,102.84,101.39,102.8,1103900
17/12/2012,100.66,101.45,100.58,101.45,1943600
14/12/2012,100.61,100.86,100.35,100.52,1168800
13/12/2012,101.36,101.63,100.45,100.75,1056600
12/12/2012,101.83,102.01,101.17,101.37,1318700
11/12/2012,101.47,101.76,101.19,101.48,1222300
10/12/2012,100.47,101.09,100.36,101.04,884700
07/12/2012,100.66,100.74,100.09,100.42,860500
06/12/2012,100.06,100.55,99.96,100.34,1103300
05/12/2012,100.3,100.47,99.38,100.13,1011400
04/12/2012,99.95,100.21,99.41,99.94,1056600
03/12/2012,100.79,100.85,99.68,99.95,1481800
30/11/2012,100.39,100.39,99.8,100.12,1208000
29/11/2012,100.06,100.23,99.5,100.19,803300
28/11/2012,98.41,99.5,97.7,99.5,849600
27/11/2012,98.94,99.34,98.7,98.84,536400
26/11/2012,98.81,99.16,98.44,99.04,720600
23/11/2012,98.37,99.13,98.36,99.13,239800
21/11/2012,97.77,98.04,97.43,98.04,493900
20/11/2012,97.04,97.7,96.91,97.64,1478100
19/11/2012,96.36,97.3,96.22,97.3,1122700
16/11/2012,94.77,95.45,94.16,95.37,1060300
15/11/2012,94.93,95.42,94.12,94.69,909400
14/11/2012,96.92,97.05,94.86,95.11,855200
13/11/2012,96.42,97.48,96.29,96.7,516400
12/11/2012,97.27,97.34,96.78,96.95,569900
09/11/2012,96.41,97.76,96.37,97.05,635100
08/11/2012,98,98.34,96.85,96.85,947700
07/11/2012,99.14,99.27,97.67,98.19,1046500
06/11/2012,99.74,100.5,99.53,100.27,946400
05/11/2012,98.78,99.47,98.49,99.4,862700
02/11/2012,100.66,100.66,98.8,98.83,1679800
01/11/2012,98.15,100.36,97.69,100.3,13938300
31/10/2012,97.52,98.04,97.15,97.94,765100
26/10/2012,97.79,98.06,96.79,97.49,399700
25/10/2012,98.13,98.41,96.96,97.75,471900
24/10/2012,98.23,98.4,97.37,97.53,453000
23/10/2012,97.44,98.11,96.64,97.83,655600
22/10/2012,98.55,98.8,97.85,98.51,585400
19/10/2012,99.72,99.8,98.38,98.59,633300
18/10/2012,100.02,100.36,99.68,100.1,1086200
17/10/2012,99.45,100.37,99.29,100.22,574500
16/10/2012,98.77,99.43,98.66,99.43,300600
15/10/2012,97.89,98.37,97.23,98.37,531600
12/10/2012,98.23,98.37,97.33,97.49,297000
11/10/2012,98.48,98.85,98.14,98.25,320200
10/10/2012,98.3,98.34,97.58,97.79,359700
09/10/2012,99.15,99.32,98.1,98.3,390400
08/10/2012,99.1,99.54,98.95,99.19,247400
05/10/2012,99.99,100.46,99.37,99.65,476400
04/10/2012,99.05,99.65,98.61,99.61,749700
03/10/2012,98.93,99.17,98.21,98.71,709100
02/10/2012,98.63,98.82,98.22,98.69,1396200
01/10/2012,99.34,99.34,97.63,98.32,15389700
28/09/2012,98.7,99.16,98.25,98.68,736500
27/09/2012,98.37,99.35,98.14,99.19,437000
26/09/2012,98.88,98.95,97.63,98.03,556900
25/09/2012,100.7,100.73,98.68,98.74,897500
24/09/2012,100.41,100.96,100.24,100.6,588200
21/09/2012,101.43,101.63,100.75,100.75,716200
20/09/2012,100.91,100.93,100.31,100.76,683400
19/09/2012,101.4,101.68,101.03,101.45,595400
18/09/2012,101.62,101.69,100.99,101.21,617300
17/09/2012,102.52,102.65,101.72,101.87,684700
14/09/2012,102.16,103.23,102.05,102.92,2143900
13/09/2012,100.85,102.08,100.28,101.78,860000
12/09/2012,100.57,100.86,100.22,100.86,796700
11/09/2012,100.23,100.61,100.05,100.31,581300
10/09/2012,100.47,100.73,100.14,100.2,688100
07/09/2012,100.3,100.9,100.09,100.63,718400
06/09/2012,98.78,100.32,98.74,100.08,1002300
05/09/2012,98.38,98.52,97.89,98.19,1228800
04/09/2012,97.35,98.6,96.59,98.41,14690800
31/08/2012,97.55,97.61,96.32,97.24,1149900
30/08/2012,96.96,97.17,96.34,96.75,637900
29/08/2012,97.45,97.75,97.12,97.51,842600
28/08/2012,96.96,97.62,96.75,97.43,741500
27/08/2012,97.55,97.58,96.82,97.03,518700
24/08/2012,96.69,97.32,96.38,97.05,483300
23/08/2012,97.35,97.35,96.52,96.77,504600
22/08/2012,97.48,97.73,96.97,97.43,533700
21/08/2012,97.86,98.42,97.38,97.68,478200
20/08/2012,97.69,97.79,97.07,97.46,437400
17/08/2012,97.44,97.85,97.29,97.77,444600
16/08/2012,96.44,97.5,96.29,97.33,519700
15/08/2012,95.82,96.48,95.69,96.46,358300
14/08/2012,96.44,96.53,95.59,95.92,584200
13/08/2012,96.08,96.27,95.21,96.04,458500
10/08/2012,95.75,96.25,95.48,96.17,443200
09/08/2012,95.9,96.43,95.8,96.13,351200
08/08/2012,95.46,96.14,95.43,95.95,1620800
07/08/2012,95.53,96.34,95.41,95.82,609000
06/08/2012,94.61,95.26,94.51,94.91,459900
03/08/2012,94.07,94.78,93.95,94.4,637500
02/08/2012,92.25,93.28,91.89,92.58,1237900
01/08/2012,94.31,94.62,93.1,93.15,934200
31/07/2012,94.49,94.88,93.95,93.96,1789800
30/07/2012,94.92,95.3,94.28,94.6,579500
27/07/2012,93.48,95.23,93.15,94.82,952300
26/07/2012,93.05,93.35,92.14,92.93,555800
25/07/2012,91.73,92.13,91.09,91.54,619400
24/07/2012,92.9,92.9,90.85,91.41,557700
23/07/2012,92.33,92.98,91.71,92.75,473400
20/07/2012,94.13,94.54,93.86,93.95,390400
19/07/2012,95.19,95.36,94.56,94.9,984000
18/07/2012,93.94,95.15,93.82,94.85,450200
17/07/2012,94.11,94.29,92.75,94.16,485100
16/07/2012,93.96,94,93.09,93.61,516800
13/07/2012,93.13,94.27,93.05,94.15,818500
12/07/2012,92.4,93.15,91.58,92.73,512300
11/07/2012,93.46,93.7,92.49,93.04,654800
10/07/2012,95,95.12,92.94,93.29,562800
09/07/2012,94.58,94.68,93.89,94.37,355600
06/07/2012,94.92,94.97,94.19,94.72,760600
05/07/2012,95.79,96.13,95.11,95.83,672000
03/07/2012,94.77,95.85,94.74,95.79,1019000
02/07/2012,94.54,94.87,93.87,94.73,1105800
29/06/2012,93.47,94.17,93.04,94.17,655900
28/06/2012,90.5,91.52,90.08,91.52,762100
27/06/2012,90.71,91.42,90.39,91.25,561300
26/06/2012,90.03,90.71,89.41,90.39,488200
25/06/2012,90.23,90.29,89.36,89.79,619900
22/06/2012,91.4,91.69,90.85,91.43,450000
21/06/2012,93.5,93.61,90.87,90.98,485100
20/06/2012,93.66,94.09,92.9,93.5,682700
19/06/2012,93.09,94,92.91,93.6,541600
18/06/2012,91.6,93,91.29,92.9,531000
15/06/2012,91.4,92.31,91.19,92.01,732000
14/06/2012,90.7,91.51,90.34,91.17,656900
13/06/2012,91.5,91.93,90.23,90.51,612000
12/06/2012,91.25,91.84,90.54,91.79,705400
11/06/2012,93.62,93.65,90.75,90.9,561800
08/06/2012,91.8,92.75,91.16,92.65,549100
07/06/2012,93.58,93.63,91.8,91.87,673200
06/06/2012,91.08,92.32,90.94,92.28,834700
05/06/2012,88.78,90.44,88.69,90.32,791200
04/06/2012,89.82,90.1,88.22,89.15,847600
01/06/2012,90.78,91.08,89.61,89.71,1114800
31/05/2012,92.81,93.1,91.41,92.53,1324800
30/05/2012,93.74,93.84,92.64,92.79,389900
29/05/2012,94.18,94.89,93.71,94.67,846900
25/05/2012,93.69,93.9,93.21,93.48,358400
24/05/2012,93.42,93.79,92.57,93.69,1166900
23/05/2012,91.89,93.45,91.34,93.31,726000
22/05/2012,92.78,93.54,92.24,92.79,527300
21/05/2012,90.72,92.56,90.26,92.54,832500
18/05/2012,91.7,92.19,90.35,90.42,806400
