Date,Open,High,Low,Close,Volume
03/01/2013,145.99,146.37,145.34,145.73,144686400
02/01/2013,145.11,146.15,144.73,146.06,192059000
31/12/2012,139.66,142.56,139.54,142.41,243935200
28/12/2012,140.64,141.42,139.87,140.03,148806700
27/12/2012,141.79,142.08,139.92,141.56,167920600
26/12/2012,142.64,142.71,141.35,141.75,106947700
24/12/2012,142.48,142.56,142.19,142.35,53874600
21/12/2012,142.17,144.09,141.94,142.79,245883800
20/12/2012,144.38,145.14,143.98,145.12,168487000
19/12/2012,145.53,145.58,144.24,144.29,150895400
18/12/2012,144,145.5,143.79,145.37,177762800
17/12/2012,142.47,143.85,142.43,143.77,143238200
14/12/2012,142.32,142.58,141.88,142.1,137701700
13/12/2012,143.42,143.83,142.27,142.63,135715000
12/12/2012,144,144.55,143.31,143.51,145880100
11/12/2012,143.06,144.11,142.99,143.44,152570400
10/12/2012,142.21,142.81,142.15,142.47,98840700
07/12/2012,142.53,142.69,141.67,142.41,108726400
06/12/2012,141.37,142.04,141.16,141.98,103220600
05/12/2012,141.37,142.16,140.37,141.5,147300500
04/12/2012,141.44,141.87,140.87,141.25,127512200
03/12/2012,142.8,142.92,141.34,141.45,124656300
30/11/2012,142.14,142.42,141.66,142.15,136568300
29/11/2012,141.99,142.51,141.37,142.12,151085900
28/11/2012,139.76,141.54,139,141.46,177086500
27/11/2012,140.91,141.39,140.24,140.33,128646200
26/11/2012,140.65,141.36,140.19,141.05,100124400
23/11/2012,140.13,141.4,140.04,141.35,65409200
21/11/2012,139.31,139.57,139.03,139.45,81710800
20/11/2012,138.91,139.42,138.08,139.19,119807400
19/11/2012,137.9,139.15,136.41,139.13,151495800
16/11/2012,135.9,136.64,134.7,136.37,239483900
15/11/2012,135.98,136.49,135.18,135.7,178128400
14/11/2012,138.21,138.43,135.62,135.93,191505000
13/11/2012,137.54,139.25,137.36,137.79,123018300
12/11/2012,138.59,138.81,137.96,138.27,97677500
09/11/2012,137.62,139.44,137.55,138.16,201055300
08/11/2012,139.7,140.41,137.93,138.04,181517300
07/11/2012,141.66,141.68,139.06,139.72,264304500
06/11/2012,142.28,143.52,142.13,142.96,107068100
05/11/2012,141.35,142.17,140.93,141.85,98378500
02/11/2012,143.68,143.72,141.41,141.56,137702200
01/11/2012,141.65,143.01,141.52,142.83,100995600
31/10/2012,141.85,142.03,140.68,141.35,103438500
26/10/2012,141.3,141.84,140.39,141.35,146023500
25/10/2012,142.02,142.28,140.57,141.43,134457400
24/10/2012,141.93,142.1,140.8,141.02,120179400
23/10/2012,141.86,142.06,140.83,141.42,192056300
22/10/2012,143.15,143.67,142.28,143.41,125578600
19/10/2012,145.55,145.56,143.05,143.39,185645200
18/10/2012,145.82,146.52,145.33,145.82,148108500
17/10/2012,145.64,146.32,145.42,146.2,128834100
16/10/2012,144.76,145.64,144.66,145.54,108815500
15/10/2012,143.23,144.23,142.77,144.08,107689100
12/10/2012,143.46,143.95,142.58,142.89,124181900
11/10/2012,144.28,144.49,143.33,143.36,123601500
10/10/2012,144.18,144.32,143.09,143.28,124247500
09/10/2012,145.53,145.65,144.15,144.2,148872900
08/10/2012,145.6,146.12,145.31,145.64,78415400
05/10/2012,146.91,147.16,145.7,146.14,124842100
04/10/2012,145.64,146.34,145.44,146.13,124311600
03/10/2012,144.89,145.43,144.13,145.09,121283100
02/10/2012,144.92,145.15,143.83,144.5,113422200
01/10/2012,144.52,145.69,144.01,144.35,135911200
28/09/2012,144.09,144.56,143.46,143.97,150696100
27/09/2012,143.89,144.97,143.51,144.64,111830300
26/09/2012,144.07,144.11,142.95,143.29,146502200
25/09/2012,145.96,146.24,144.06,144.1,133165200
24/09/2012,145.15,145.98,145.04,145.65,95682000
21/09/2012,146.64,146.67,145.81,145.87,108737500
20/09/2012,146.03,146.79,145.63,146.71,154009800
19/09/2012,146.79,147.17,146.41,146.7,128318300
18/09/2012,146.49,146.81,146.25,146.62,98326600
17/09/2012,146.94,147.19,146.37,146.74,119427800
14/09/2012,146.88,148.11,146.76,147.24,169777000
13/09/2012,144.37,147.04,143.99,146.59,225470200
12/09/2012,144.39,144.55,143.9,144.39,87640900
11/09/2012,143.6,144.37,143.56,143.91,88760000
10/09/2012,144.19,144.44,143.46,143.51,86458500
07/09/2012,144.01,144.39,143.88,144.33,107272100
06/09/2012,141.76,143.78,141.75,143.77,158272500
05/09/2012,141.09,141.47,140.63,140.91,100660300
04/09/2012,141.04,141.46,140.13,141.03,120226200
31/08/2012,141.29,141.82,140.36,141.16,151970400
30/08/2012,140.9,140.94,140.19,140.49,96589900
29/08/2012,141.52,141.89,141.12,141.51,65421300
28/08/2012,141.18,141.84,140.97,141.4,75689600
27/08/2012,141.89,142.08,141.34,141.54,68785900
24/08/2012,140.31,141.83,140.22,141.51,99481200
23/08/2012,141.47,141.48,140.44,140.66,111466400
22/08/2012,141.4,142.05,141.07,141.82,133243500
21/08/2012,142.54,143.09,141.45,141.76,105581100
20/08/2012,141.98,142.22,141.59,142.19,78255700
17/08/2012,142.23,142.3,141.86,142.18,90813700
16/08/2012,141.15,142.16,140.8,141.99,112014200
15/08/2012,140.64,141.19,140.55,140.95,71085900
14/08/2012,141.29,141.38,140.37,140.79,102379400
13/08/2012,140.6,140.84,140.04,140.77,79426900
10/08/2012,140.04,140.89,139.81,140.84,99792700
09/08/2012,140.29,140.89,140.15,140.61,90291700
08/08/2012,139.85,140.65,139.81,140.49,89754700
07/08/2012,140.18,140.92,140.03,140.32,109545100
06/08/2012,139.72,140.17,139.56,139.62,86326200
03/08/2012,138.56,139.64,136.68,139.35,157825000
02/08/2012,136.55,137.57,135.58,136.64,199556600
01/08/2012,138.7,138.73,137.4,137.59,138293800
31/07/2012,138.49,138.87,137.71,137.71,120575900
30/07/2012,138.52,139.34,138.27,138.68,106782000
27/07/2012,136.89,139.07,136.14,138.68,236768900
26/07/2012,135.89,136.46,135.26,136.17,156526500
25/07/2012,134.21,134.56,133.25,133.96,129122300
24/07/2012,135.19,135.25,133.03,133.93,173301200
23/07/2012,134.47,136.38,133.84,135.09,145210900
20/07/2012,136.95,137.16,136.32,136.47,142904500
19/07/2012,137.65,138.18,137.21,137.73,129847300
18/07/2012,136.04,137.64,135.96,137.37,113349700
17/07/2012,135.97,136.64,134.55,136.36,138860300
16/07/2012,135.44,135.83,134.9,135.43,97525200
13/07/2012,133.86,135.89,133.84,135.75,129642600
12/07/2012,133.38,134.23,132.6,133.51,143583200
11/07/2012,134.21,134.6,133.38,134.16,141733400
10/07/2012,136.01,136.23,133.68,134.14,167884800
09/07/2012,135.38,135.57,134.7,135.32,103780500
06/07/2012,135.47,135.77,134.85,135.49,151192100
05/07/2012,136.9,137.8,136.29,136.79,126177500
03/07/2012,136.48,137.51,136.34,137.41,80450000
02/07/2012,136.48,136.65,135.52,136.51,129524500
29/06/2012,135.2,136.27,134.85,136.1,212250900
28/06/2012,132.29,132.99,131.28,132.79,169242100
27/06/2012,132.42,133.43,131.97,133.17,108088000
26/06/2012,131.7,132.38,130.93,131.98,141634000
25/06/2012,132.05,132.1,130.85,131.32,146375700
22/06/2012,133.13,133.71,132.62,133.46,130029200
21/06/2012,135.64,135.78,132.33,132.44,205272200
20/06/2012,135.71,136.1,134.27,135.48,206451800
19/06/2012,135.08,136.25,134.37,135.7,137382600
18/06/2012,133.58,134.73,133.28,134.4,131360900
15/06/2012,133.38,134.26,133.1,134.14,169444500
14/06/2012,132.34,134,131.98,133.47,230615500
13/06/2012,132.53,133.36,131.62,132.07,172008000
12/06/2012,131.79,133.01,131.16,132.92,181931800
11/06/2012,134.17,134.25,131.28,131.41,169756100
08/06/2012,131.71,133.13,131.29,133.1,143915400
