Date, Open , High , Low , Close ,Volume,Adj Close
23/08/2013, 14.29 , 14.82 , 14.02 , 14.06 ,0,14.06
22/08/2013, 15.26 , 15.26 , 14.66 , 14.76 ,0,14.76
21/08/2013, 16.00 , 16.56 , 14.67 , 15.94 ,0,15.94
20/08/2013, 15.22 , 15.25 , 14.29 , 14.91 ,0,14.91
19/08/2013, 14.94 , 15.20 , 14.35 , 15.10 ,0,15.1
16/08/2013, 14.56 , 14.88 , 13.62 , 14.37 ,0,14.37
15/08/2013, 14.14 , 14.85 , 13.91 , 14.73 ,0,14.73
14/08/2013, 12.48 , 13.09 , 12.35 , 13.04 ,0,13.04
13/08/2013, 12.86 , 13.37 , 12.29 , 12.31 ,0,12.31
12/08/2013, 13.52 , 13.57 , 12.80 , 12.81 ,0,12.81
09/08/2013, 12.88 , 13.66 , 12.71 , 13.41 ,0,13.41
08/08/2013, 12.50 , 13.13 , 12.37 , 12.73 ,0,12.73
07/08/2013, 13.17 , 13.91 , 12.96 , 12.98 ,0,12.98
06/08/2013, 12.19 , 12.93 , 12.06 , 12.72 ,0,12.72
05/08/2013, 12.29 , 12.42 , 11.83 , 11.84 ,0,11.84
02/08/2013, 12.66 , 12.74 , 11.98 , 11.98 ,0,11.98
01/08/2013, 12.89 , 13.25 , 12.82 , 12.99 ,0,12.99
31/07/2013, 13.55 , 13.83 , 12.94 , 13.45 ,0,13.45
30/07/2013, 13.45 , 14.14 , 13.35 , 13.39 ,0,13.39
29/07/2013, 13.54 , 13.86 , 13.38 , 13.39 ,0,13.39
26/07/2013, 13.41 , 13.73 , 12.71 , 12.72 ,0,12.72
25/07/2013, 13.47 , 13.54 , 12.91 , 12.97 ,0,12.97
24/07/2013, 12.69 , 13.49 , 12.69 , 13.18 ,0,13.18
23/07/2013, 12.15 , 13.06 , 12.07 , 12.66 ,0,12.66
22/07/2013, 13.23 , 13.37 , 12.29 , 12.29 ,0,12.29
19/07/2013, 13.89 , 13.97 , 12.54 , 12.54 ,0,12.54
18/07/2013, 13.63 , 13.80 , 13.20 , 13.77 ,0,13.77
17/07/2013, 14.20 , 14.44 , 13.76 , 13.78 ,0,13.78
16/07/2013, 13.78 , 14.56 , 13.78 , 14.42 ,0,14.42
15/07/2013, 13.98 , 14.11 , 13.50 , 13.79 ,0,13.79
12/07/2013, 13.90 , 14.04 , 13.74 , 13.84 ,0,13.84
11/07/2013, 13.57 , 14.20 , 13.57 , 14.01 ,0,14.01
10/07/2013, 14.46 , 14.62 , 14.06 , 14.21 ,0,14.21
09/07/2013, 14.33 , 14.65 , 14.26 , 14.35 ,0,14.35
08/07/2013, 14.66 , 15.27 , 14.66 , 14.78 ,0,14.78
05/07/2013, 15.59 , 16.28 , 14.89 , 14.89 ,0,14.89
03/07/2013, 17.22 , 17.32 , 16.20 , 16.20 ,0,16.2
02/07/2013, 16.49 , 16.93 , 15.88 , 16.44 ,0,16.44
01/07/2013, 16.90 , 16.90 , 16.00 , 16.37 ,0,16.37
28/06/2013, 17.25 , 17.69 , 16.19 , 16.86 ,0,16.86
27/06/2013, 16.60 , 16.97 , 16.34 , 16.86 ,0,16.86
26/06/2013, 17.23 , 18.06 , 17.08 , 17.21 ,0,17.21
25/06/2013, 18.65 , 19.22 , 17.82 , 18.47 ,0,18.47
24/06/2013, 20.87 , 21.91 , 18.58 , 20.11 ,0,20.11
21/06/2013, 18.97 , 20.93 , 18.25 , 18.90 ,0,18.9
20/06/2013, 18.40 , 21.32 , 18.01 , 20.49 ,0,20.49
19/06/2013, 16.89 , 17.18 , 15.36 , 16.64 ,0,16.64
18/06/2013, 16.81 , 16.95 , 16.46 , 16.61 ,0,16.61
17/06/2013, 16.53 , 17.62 , 16.33 , 16.80 ,0,16.8
14/06/2013, 16.63 , 17.26 , 16.03 , 17.15 ,0,17.15
13/06/2013, 18.38 , 18.58 , 16.37 , 16.41 ,0,16.41
12/06/2013, 16.51 , 18.60 , 16.43 , 18.59 ,0,18.59
11/06/2013, 16.91 , 17.14 , 16.00 , 17.07 ,0,17.07
10/06/2013, 15.16 , 15.60 , 15.10 , 15.44 ,0,15.44
07/06/2013, 15.90 , 16.21 , 14.96 , 15.14 ,0,15.14
06/06/2013, 17.70 , 18.51 , 16.60 , 16.63 ,0,16.63
05/06/2013, 16.86 , 17.84 , 16.57 , 17.50 ,0,17.5
04/06/2013, 16.16 , 17.25 , 15.82 , 16.27 ,0,16.27
03/06/2013, 16.40 , 17.58 , 16.15 , 16.28 ,0,16.28
31/05/2013, 15.02 , 16.35 , 14.36 , 16.30 ,0,16.3
30/05/2013, 14.90 , 14.98 , 14.27 , 14.53 ,0,14.53
29/05/2013, 15.30 , 15.65 , 14.59 , 14.83 ,0,14.83
28/05/2013, 13.67 , 14.56 , 13.56 , 14.48 ,0,14.48
24/05/2013, 14.59 , 14.79 , 13.99 , 13.99 ,0,13.99
23/05/2013, 14.94 , 15.11 , 13.87 , 14.07 ,0,14.07
22/05/2013, 13.45 , 14.45 , 13.05 , 13.82 ,0,13.82
21/05/2013, 13.08 , 13.44 , 12.89 , 13.37 ,0,13.37
20/05/2013, 13.28 , 13.28 , 12.84 , 13.02 ,0,13.02
17/05/2013, 12.73 , 12.94 , 12.26 , 12.45 ,0,12.45
16/05/2013, 13.07 , 13.46 , 12.79 , 13.07 ,0,13.07
15/05/2013, 12.98 , 13.43 , 12.78 , 12.81 ,0,12.81
14/05/2013, 12.61 , 13.21 , 12.54 , 12.77 ,0,12.77
13/05/2013, 12.57 , 12.87 , 12.49 , 12.55 ,0,12.55
10/05/2013, 13.08 , 13.45 , 12.54 , 12.59 ,0,12.59
09/05/2013, 12.91 , 13.53 , 12.78 , 13.13 ,0,13.13
08/05/2013, 12.87 , 13.04 , 12.62 , 12.66 ,0,12.66
07/05/2013, 12.63 , 12.96 , 12.49 , 12.83 ,0,12.83
06/05/2013, 13.06 , 13.19 , 12.66 , 12.66 ,0,12.66
03/05/2013, 12.92 , 13.15 , 12.77 , 12.85 ,0,12.85
02/05/2013, 14.48 , 14.48 , 13.58 , 13.59 ,0,13.59
01/05/2013, 13.88 , 14.67 , 13.87 , 14.49 ,0,14.49
30/04/2013, 13.71 , 14.28 , 13.51 , 13.52 ,0,13.52
29/04/2013, 13.72 , 13.94 , 13.36 , 13.71 ,0,13.71
26/04/2013, 13.94 , 14.18 , 13.49 , 13.61 ,0,13.61
25/04/2013, 13.61 , 13.87 , 13.13 , 13.62 ,0,13.62
24/04/2013, 13.57 , 13.75 , 13.36 , 13.61 ,0,13.61
