Date,Open,High,Low,Close,Volume
24/01/2014,42.22,45.47,42.1,44.69,62142500
23/01/2014,40.45,42.03,40.37,41.09,35494300
22/01/2014,40.15,40.4,39.85,39.97,18921600
21/01/2014,40.72,41.35,40.53,40.58,19812900
17/01/2014,41.15,41.35,40.57,41.13,21201800
16/01/2014,40.9,41.49,40.76,40.98,14915200
15/01/2014,40.55,41.29,40,40.81,20073000
14/01/2014,41.84,41.85,40.54,40.62,47251100
13/01/2014,40.99,43,40.27,42.31,41759200
10/01/2014,41.5,42.28,40.76,40.84,23795700
09/01/2014,41.67,42.1,41.5,41.83,16357700
08/01/2014,41.89,42.12,41.5,41.77,16138300
07/01/2014,42.23,42.3,41.56,41.72,19836000
06/01/2014,42.48,43.1,42.14,42.73,26537300
03/01/2014,43.12,43.65,42.59,43.16,18966600
02/01/2014,43.22,43.75,43.08,43.44,30646500
31/12/2013,42.11,43.27,42.07,42.55,17519900
30/12/2013,42.16,42.84,41.92,42.57,14094500
27/12/2013,41.28,42.27,41.2,42,22551500
26/12/2013,41.25,41.5,41.16,41.46,19301000
24/12/2013,42.38,42.68,42.02,42.16,13766900
23/12/2013,44.05,44.22,42.91,43.04,17748700
20/12/2013,44.02,44.73,43.69,44.62,26676000
19/12/2013,44.23,44.56,43.78,44.33,24973900
18/12/2013,46.8,47.57,43.83,43.88,45887900
17/12/2013,48.09,48.67,46.89,47.25,29231900
16/12/2013,46.87,47.73,46.67,47.45,19601200
13/12/2013,47.21,47.79,46.99,47.39,21150200
12/12/2013,46.89,48.26,46.54,47.31,30370700
11/12/2013,44.84,47.3,44.79,47.11,28944800
10/12/2013,45.06,45.24,44.7,45,22045100
09/12/2013,44.74,45.17,44.51,44.76,21995100
06/12/2013,45.71,45.83,44.81,45.13,28258800
05/12/2013,46.14,47.24,46.05,46.71,19589200
04/12/2013,47.87,48.53,46.37,46.49,31624100
03/12/2013,46.67,48.09,46.25,46.85,29453400
02/12/2013,45.22,46.12,45.21,45.8,16711600
29/11/2013,44.69,45.46,44.65,45.39,9507600
27/11/2013,44.6,45.03,44.55,44.84,13346800
26/11/2013,44.56,44.97,44.26,44.84,17998900
25/11/2013,43.99,44.81,43.98,44.59,15644700
22/11/2013,44.85,45.09,44.42,44.45,20169700
21/11/2013,46.13,46.21,44.73,45.12,35573400
20/11/2013,48.08,48.19,45.9,46.65,43625300
19/11/2013,46.81,48.17,46.57,47.61,24014700
18/11/2013,46.32,47.27,45.87,47.03,20647600
15/11/2013,47.33,47.42,47,47.03,14572400
14/11/2013,48.09,48.28,47.54,47.64,15194300
13/11/2013,49.04,49.12,48.04,48.15,15225200
12/11/2013,48.57,48.88,48.13,48.34,18092100
11/11/2013,48.69,48.97,48.45,48.52,13055000
08/11/2013,50.15,50.32,48.59,48.62,22268200
07/11/2013,48.84,51.08,48.8,50.8,3327500
06/11/2013,49.32,50.04,49.04,49.08,9072100
05/11/2013,50.36,50.72,49.68,49.88,9148500
04/11/2013,50.92,51.24,49.96,50,8902200
01/11/2013,51.24,51.96,49.52,51.32,9617100
31/10/2013,51.88,52.24,50.84,51.72,9261900
30/10/2013,51.32,52.72,51.2,51.8,11632800
29/10/2013,51.48,52.04,51.16,51.32,7266400
28/10/2013,51.6,52.2,51.36,51.64,6708700
25/10/2013,51.44,52.2,51.32,51.36,8010800
24/10/2013,51.96,52.36,51.2,51.52,7982900
23/10/2013,52.6,53.92,52.2,52.32,14776800
22/10/2013,50.72,52.32,50.6,52,12064200
21/10/2013,50.32,52.24,50.28,51.84,12528300
18/10/2013,51.2,52.48,50.44,51.44,19189400
17/10/2013,55.8,55.84,52,52.04,13721900
16/10/2013,59.32,60.12,55.08,55.08,20979600
15/10/2013,59.2,62.64,58.08,62.24,21336800
14/10/2013,60.28,61.36,57.88,58.72,19520200
11/10/2013,59.2,59.4,57.08,58.12,15506500
10/10/2013,63.04,63.08,59,59.08,22553700
09/10/2013,67.8,69.64,64.56,65.48,24940300
08/10/2013,64.84,68.72,64.52,67.84,25763400
07/10/2013,62.68,64.96,61.96,64.84,14204100
04/10/2013,61.44,62.2,59.84,60.24,11992700
03/10/2013,59,63.4,58.72,60.68,21676300
02/10/2013,57.92,59.08,57.24,58.52,10470200
01/10/2013,58.84,59.04,56.72,56.72,10290600
30/09/2013,59.32,59.56,57.32,58.8,13776900
27/09/2013,55.4,57.28,55.28,56.8,10409700
26/09/2013,54.76,55.44,54.36,54.48,6820800
25/09/2013,55.6,56.36,54.96,55.56,8405100
24/09/2013,55.72,56.36,54.76,55.76,10309800
23/09/2013,55.2,57.12,55,56.08,9099500
20/09/2013,54.4,55.4,53.8,55.36,13524900
19/09/2013,53.88,54.96,53.68,54.32,10151600
18/09/2013,57,57.76,53.96,54.6,19372500
17/09/2013,57.16,57.2,56.48,56.72,8708700
16/09/2013,56.52,57.76,56.4,57.32,8897800
13/09/2013,57.72,59.04,57.44,57.92,7823800
12/09/2013,57.72,58.96,56.88,58.8,9701100
11/09/2013,60.08,60.32,57.64,57.88,8792300
10/09/2013,60.28,60.72,59.76,59.8,15284300
09/09/2013,63.76,64.16,61.68,62.08,8116800
06/09/2013,63.04,66.28,62.88,64.48,14717400
05/09/2013,65.28,65.52,63.76,64.04,7135500
04/09/2013,65.64,66.08,64.92,65.36,9062400
03/09/2013,65.12,67,64.84,65.64,13823400
30/08/2013,66.84,69.36,66.8,68.16,15973900
29/08/2013,66.92,67.44,65.36,67.44,12909400
28/08/2013,66.6,67.44,64.88,65.92,14843800
27/08/2013,64,66.48,63.08,66.12,18907100
26/08/2013,58.68,61.4,58.24,61.16,8762700
23/08/2013,59.92,60.48,59.2,59.2,5761700
22/08/2013,61.2,61.32,60.08,60.48,9104100
21/08/2013,61.88,63.16,59.6,61.96,18113200
20/08/2013,61.8,62.16,59.32,60.84,10029900
19/08/2013,60.2,61.8,59.84,61.56,8356700
16/08/2013,61,61.16,59,59.88,12286200
15/08/2013,60,61.2,59.72,61.04,13129500
14/08/2013,57.16,58.16,56.88,57.96,6107100
13/08/2013,57.52,58.84,57.16,57.56,7512100
12/08/2013,59.68,59.72,57.84,58.08,5729800
09/08/2013,57.68,58.96,57.12,58.4,7042900
08/08/2013,57.44,58.8,57.2,57.64,5849000
07/08/2013,58.8,60.08,58.12,58.56,9057600
06/08/2013,56.56,58.36,56.36,57.92,8565000
05/08/2013,56.76,57.08,56.04,56.2,5404100
02/08/2013,58.48,58.52,56.84,57,8671100
01/08/2013,58.72,59.04,58.16,58.4,8386100
31/07/2013,61.52,61.56,58.92,60.24,11010200
30/07/2013,62.6,63.16,61.48,61.6,6855400
29/07/2013,62.64,63.44,62.08,62.84,6001300
26/07/2013,62.92,64.04,61.8,62.04,7362500
25/07/2013,64.48,64.6,62.04,62.24,7522000
24/07/2013,62.52,64.48,62.44,63.84,9154700
23/07/2013,62.72,64.08,62.2,63,9175900
22/07/2013,64.28,65,63.08,63.32,8451200
19/07/2013,66.6,67.4,64.32,64.68,8858400
18/07/2013,66.72,66.96,65.28,66.12,9179300
17/07/2013,68.72,69.36,67.16,67.24,10110700
16/07/2013,67.72,70.4,67.56,69.64,10048300
15/07/2013,68.68,69.24,67.4,67.88,6937200
12/07/2013,68.68,69.84,68.32,69.4,7463000
11/07/2013,68.32,69.52,68,68.72,9031300
10/07/2013,71.28,71.6,70.16,70.64,10521600
09/07/2013,70.96,71.92,70.52,71.36,11408900
08/07/2013,74.24,74.56,72.44,72.84,13529800
05/07/2013,78.44,79.6,76.24,76.24,11241800
03/07/2013,82.24,82.6,80,80.48,6781800
02/07/2013,81.08,82.56,79.2,81.2,11755600
01/07/2013,81.56,81.76,78.76,80.24,11022900
28/06/2013,84.84,85.52,81.4,82.84,13251300
27/06/2013,84.56,85.32,83.12,83.24,11356300
26/06/2013,86.52,88.48,86.4,86.72,12983500
25/06/2013,88.52,90.6,88.04,88.68,16365400
24/06/2013,90.72,92.56,88.52,91.24,24743500
21/06/2013,86.6,91.28,85.56,86.24,28950100
20/06/2013,83.64,92.12,83.2,89.64,34150800
19/06/2013,80.96,81.56,76.6,80.24,21693500
18/06/2013,81.08,81.52,80.2,80.32,9851100
17/06/2013,81.12,83.08,80.56,81.52,12282000
14/06/2013,81.08,83.4,79.28,83.16,17434600
13/06/2013,84.88,86,80.32,80.88,18352300
12/06/2013,78.4,85.8,78.2,84.8,21663400
