Date,Open,High,Low,Close,Volume
03/01/2013,18.44,18.84,18.2,18.48,23776500
02/01/2013,18.21,18.71,17.73,18.6,37783900
31/12/2012,14.92,16.75,14.78,16.59,25464300
28/12/2012,16.04,16.47,15.6,15.7,16978600
27/12/2012,16.61,16.77,15.54,16.58,18769300
26/12/2012,17.23,17.27,16.55,16.58,8642700
24/12/2012,17.51,17.59,17.28,17.51,4528700
21/12/2012,16.91,17.5,16.83,17.21,17103600
20/12/2012,18.91,19.02,18.27,18.42,14424400
19/12/2012,20.05,20.05,18.83,18.87,12282500
18/12/2012,19.58,20.15,19.48,20.01,12499500
17/12/2012,18.57,19.31,18.54,19.29,7940600
14/12/2012,18.68,18.79,18.4,18.64,10559600
13/12/2012,19.17,19.26,18.46,18.76,10709600
12/12/2012,19.7,19.81,19.07,19.13,10657300
11/12/2012,19.22,19.64,19.11,19.61,9165600
10/12/2012,19.06,19.19,18.83,18.98,6710000
07/12/2012,18.88,19.25,18.45,19.25,7256000
06/12/2012,18.79,18.86,18.41,18.56,8293400
05/12/2012,18.48,18.89,18.05,18.8,12179300
04/12/2012,18.65,18.94,18.22,18.48,11602300
03/12/2012,19.69,19.75,18.76,18.81,10911700
30/11/2012,19.75,19.75,19.01,19.22,9867300
29/11/2012,19.6,19.69,19.15,19.58,10929800
28/11/2012,18.48,19.37,18.09,19.31,14972800
27/11/2012,19.34,19.5,18.73,18.78,12850500
26/11/2012,18.72,19.24,18.62,19.2,11046700
23/11/2012,18.7,19.06,18.53,19.06,6382800
21/11/2012,18.44,18.74,18.08,18.23,10483700
20/11/2012,18.28,18.42,17.97,18.37,17482800
19/11/2012,17.24,18.1,17.23,18.08,17792000
16/11/2012,16.1,16.67,15.53,16.63,18424700
15/11/2012,16.09,16.38,15.4,15.93,14155700
14/11/2012,17.13,17.18,15.8,16.07,15526600
13/11/2012,16.3,17.08,16.19,16.65,13820300
12/11/2012,15.87,16.72,15.84,16.65,10317800
09/11/2012,15.49,16.17,15.47,15.66,13800100
08/11/2012,15.8,16.16,15.57,15.66,16096700
07/11/2012,16.75,16.85,15.57,15.8,20791300
06/11/2012,16.7,17.34,16.54,17.14,10392500
05/11/2012,16.65,16.77,16.16,16.57,12441800
02/11/2012,17.59,17.66,16.83,16.89,14293800
01/11/2012,16.24,17.37,16.21,17.33,12460700
31/10/2012,16.76,16.79,15.94,16.08,11487200
26/10/2012,16.41,16.67,15.98,16.42,11553900
25/10/2012,16.51,16.59,15.98,16.37,13225400
24/10/2012,16.27,16.31,15.83,15.93,12459300
23/10/2012,16.52,16.62,15.86,16.08,19946600
22/10/2012,17.33,17.51,16.8,17.49,10753700
19/10/2012,18.28,18.29,17.07,17.27,16210700
18/10/2012,18.26,18.68,18.15,18.42,9460400
17/10/2012,18.2,18.5,17.99,18.38,9317800
16/10/2012,18.08,18.27,17.92,18.17,9243800
15/10/2012,17.32,17.82,16.97,17.78,12006300
12/10/2012,17.65,17.8,17.07,17.17,14610600
11/10/2012,17.38,17.59,17.23,17.36,8217500
