Date,Open,High,Low,Close,Volume
03/01/2013,72.89,73.63,72.56,72.98,9786000
02/01/2013,72.95,73.02,72,73,14545800
31/12/2012,69.71,71.44,69.57,71.42,16384800
28/12/2012,70.64,70.68,69.77,69.83,11802400
27/12/2012,71.21,71.29,70.19,71.07,11660800
26/12/2012,71.95,71.98,71.1,71.2,6520100
24/12/2012,71.92,71.99,71.4,71.52,3589800
21/12/2012,71.92,72.28,71.64,72.07,15210200
20/12/2012,72.7,73.24,72.55,73.18,9007400
19/12/2012,73.31,73.39,72.65,72.69,8090600
18/12/2012,71.86,73.35,71.72,73.19,11187000
17/12/2012,71.46,71.9,71.33,71.87,9494500
14/12/2012,71.01,71.36,70.91,71.22,9441700
13/12/2012,72.07,72.08,71.2,71.49,10767300
12/12/2012,72.12,72.82,71.92,72.16,9193300
11/12/2012,71.77,72.17,71.63,71.9,7874700
10/12/2012,71.53,71.81,71.33,71.48,5835800
07/12/2012,71.37,71.57,71.02,71.56,10384400
06/12/2012,70.75,71.13,70.63,71.13,8106800
05/12/2012,70.63,71.29,70.44,70.9,12531100
04/12/2012,70.7,71.03,70.37,70.41,11395800
03/12/2012,71.6,71.7,70.59,70.67,9766500
30/11/2012,71.2,71.45,70.8,71.06,8365100
29/11/2012,71.43,71.71,70.87,71.12,10951100
28/11/2012,69.65,71.07,69.43,70.96,11587900
27/11/2012,70.7,71.01,70.19,70.32,7788000
26/11/2012,70.99,71.04,70.42,70.91,9390500
23/11/2012,70.94,71.61,70.77,71.61,4502400
21/11/2012,70.45,70.7,70.16,70.61,5868500
20/11/2012,70.32,70.59,69.74,70.23,7712500
19/11/2012,69.86,70.62,69.81,70.51,11458100
16/11/2012,68.75,69.02,67.77,68.92,21477700
15/11/2012,68.59,69.27,68.19,68.65,14651100
14/11/2012,69.62,69.75,68.38,68.56,19242100
13/11/2012,69.07,70.31,69,69.4,11300600
12/11/2012,69.82,69.9,69.4,69.69,5583400
09/11/2012,69.35,70.37,69.15,69.55,12227700
08/11/2012,70.8,71.07,69.53,69.57,15013300
07/11/2012,71.68,71.84,70.35,70.85,19043600
06/11/2012,71.96,73.06,71.92,72.75,10519200
05/11/2012,70.92,71.79,70.84,71.6,7417400
02/11/2012,72.49,72.69,70.82,71.06,11264900
01/11/2012,71.66,72.39,71.54,72.25,9490800
31/10/2012,72.25,72.47,71.35,71.94,11125800
26/10/2012,71.73,72.4,71.6,71.96,11008400
25/10/2012,71.91,72.04,71.02,71.87,9793200
24/10/2012,72.11,72.25,71.07,71.2,10695500
23/10/2012,72.22,72.29,71.23,71.75,15428500
22/10/2012,73.86,74.1,72.72,73.46,10843900
19/10/2012,74.95,75.1,73.56,73.83,14092600
18/10/2012,74.68,75.19,74.63,75.01,14412400
17/10/2012,74.3,75.07,74.15,75.02,10345700
16/10/2012,73.36,74.23,73.36,74.09,13349300
15/10/2012,72.43,73.04,71.91,72.93,8094000
12/10/2012,72.94,73.07,72.04,72.56,10761800
11/10/2012,73.12,73.57,72.92,72.96,8271700
10/10/2012,73.37,73.49,72.22,72.42,15191800
09/10/2012,73.77,74.38,73.68,73.8,10290600
08/10/2012,73.17,73.79,73.1,73.7,5442800
05/10/2012,74.17,74.26,73.34,73.58,13889200
04/10/2012,73.43,73.94,73.28,73.75,11377300
03/10/2012,73.79,73.89,72.67,73.02,12575800
02/10/2012,74.3,74.3,73.48,73.93,8791100
01/10/2012,73.94,74.53,73.7,73.8,11121400
28/09/2012,73.57,73.64,72.99,73.43,8448600
27/09/2012,73.35,73.99,73.04,73.78,8327300
26/09/2012,73.19,73.28,72.54,72.79,15803100
25/09/2012,74.5,74.64,73.42,73.49,13493300
24/09/2012,74.03,74.5,74.02,74.3,7390500
21/09/2012,75.24,75.27,74.5,74.68,12698200
20/09/2012,74.08,75.08,73.78,74.93,11743800
19/09/2012,75.38,75.45,74.65,74.72,14806800
18/09/2012,75.74,75.77,74.86,75.45,9920200
17/09/2012,76.26,76.81,75.74,75.99,10183500
14/09/2012,76.1,77.35,76.02,76.57,15240300
13/09/2012,74.53,76.01,73.95,75.57,14174200
12/09/2012,74.35,74.55,74.05,74.36,8341700
11/09/2012,73.35,74.11,73.35,73.91,7505500
10/09/2012,73.35,73.83,73.1,73.13,5842100
07/09/2012,72.37,73.47,72.3,73.45,13422600
06/09/2012,71.27,72.68,71.26,72.2,13522100
05/09/2012,70.94,71.2,70.59,70.71,7225000
04/09/2012,71.46,71.51,70.4,70.98,8775000
31/08/2012,71.41,71.89,70.98,71.53,10149900
30/08/2012,71.3,71.3,70.61,70.82,7785400
29/08/2012,72.1,72.16,71.51,71.58,6351900
28/08/2012,71.86,72.28,71.73,72.06,6820800
27/08/2012,72.06,72.5,71.77,72.01,6067800
24/08/2012,71.44,72.18,71.06,71.98,7491600
23/08/2012,72.19,72.39,71.42,71.56,7328600
22/08/2012,71.86,72.43,71.64,72.36,8538800
21/08/2012,72.65,73.03,71.97,72.09,8730200
20/08/2012,72.38,72.58,72.07,72.32,5567800
17/08/2012,72.75,72.78,72.32,72.57,12104100
16/08/2012,72.08,72.73,71.88,72.6,6883900
15/08/2012,71.99,72.17,71.67,71.96,6532100
14/08/2012,72.45,72.53,71.74,71.97,7121300
13/08/2012,72.36,72.46,71.75,72.1,8289000
10/08/2012,71.75,72.46,71.31,72.37,11315500
09/08/2012,71.6,72.51,71.5,72.24,11983000
08/08/2012,71.38,72,71.25,71.75,9499000
07/08/2012,71.16,72,71.1,71.69,12250900
06/08/2012,70.57,71.02,70.5,70.63,5936200
03/08/2012,70.1,70.87,70.02,70.44,14376000
02/08/2012,69.12,69.52,68.16,68.82,15441300
01/08/2012,69.91,70.34,69.16,69.99,16144600
31/07/2012,70.26,70.55,69.58,69.65,12015600
30/07/2012,70.12,70.68,69.9,70.42,9733300
27/07/2012,69.37,70.49,68.9,70.22,15360300
26/07/2012,68.12,69.23,68.08,69,14040500
25/07/2012,67.3,67.58,66.51,67.09,9499500
24/07/2012,68.16,68.23,66.16,67.04,12658900
23/07/2012,67.36,68.27,66.93,68.13,12720500
20/07/2012,68.41,68.81,68.1,68.79,13664400
19/07/2012,68.7,68.84,68.21,68.63,13989400
18/07/2012,67.59,68.5,67.45,68.42,15518000
17/07/2012,67.37,67.9,66.3,67.83,17984600
16/07/2012,66.56,67.3,66.17,66.99,11334800
13/07/2012,65.89,66.83,65.8,66.77,10209600
12/07/2012,65.06,65.96,64.82,65.62,19368400
11/07/2012,65.3,66.17,65.13,65.84,20964900
10/07/2012,66.39,66.59,64.64,64.96,18801100
09/07/2012,66.24,66.36,65.52,65.99,9563900
06/07/2012,66.07,66.59,65.77,66.29,11190600
05/07/2012,67.59,67.63,66.86,67.1,12141000
03/07/2012,66.93,68.7,66.87,67.99,15691600
02/07/2012,66.37,66.66,65.67,66.4,14556300
29/06/2012,66.14,66.5,65.47,66.37,21745500
28/06/2012,63.62,64.54,63.33,64.43,16523500
27/06/2012,63.03,64.23,63.03,63.99,11657800
26/06/2012,62.12,62.92,61.67,62.69,14262000
25/06/2012,62.5,62.52,61.47,62.02,15553800
22/06/2012,63.44,63.73,62.67,63.44,20063000
21/06/2012,65.73,65.73,62.91,63.02,18964500
20/06/2012,65.94,66.43,65.1,65.71,17623500
19/06/2012,65.54,66.3,65.2,65.97,15372900
18/06/2012,64.97,65.22,64.59,65.03,14037000
15/06/2012,64.83,65.69,64.51,65.62,15501000
14/06/2012,63.85,64.98,63.6,64.7,14564700
13/06/2012,64.15,64.79,63.41,63.7,12172400
