Date,Open,High,Low,Close,Volume
03/01/2013,16.87,16.9,16.78,16.85,47950400
02/01/2013,16.8,16.88,16.74,16.87,69964900
31/12/2012,16.16,16.41,16.12,16.39,59767800
28/12/2012,16.2,16.31,16.16,16.18,32071800
27/12/2012,16.4,16.43,16.09,16.31,44447600
26/12/2012,16.4,16.43,16.31,16.37,29688000
24/12/2012,16.32,16.41,16.31,16.37,24034200
21/12/2012,16.31,16.47,16.29,16.4,58744100
20/12/2012,16.49,16.7,16.48,16.7,61972800
19/12/2012,16.61,16.63,16.46,16.47,73678200
18/12/2012,16.42,16.59,16.36,16.57,70296600
17/12/2012,16.1,16.34,16.09,16.33,69106000
14/12/2012,16.04,16.07,15.98,16,34952400
13/12/2012,16.14,16.17,16.01,16.06,41306300
12/12/2012,16.14,16.28,16.1,16.14,55671300
11/12/2012,16.06,16.14,16.01,16.07,47703800
10/12/2012,15.98,16.04,15.93,15.99,48175600
07/12/2012,15.99,16.03,15.92,16.03,36180900
06/12/2012,15.86,15.91,15.81,15.9,34613500
05/12/2012,15.71,15.93,15.67,15.85,46511100
04/12/2012,15.7,15.74,15.58,15.66,39439000
03/12/2012,15.81,15.86,15.69,15.7,50968800
30/11/2012,15.77,15.83,15.7,15.76,29675800
29/11/2012,15.78,15.84,15.7,15.78,39622900
28/11/2012,15.55,15.72,15.43,15.7,47579200
27/11/2012,15.75,15.81,15.62,15.64,49845300
26/11/2012,15.76,15.79,15.68,15.78,30317700
23/11/2012,15.77,15.85,15.73,15.84,20582700
21/11/2012,15.66,15.68,15.56,15.65,26227800
20/11/2012,15.53,15.7,15.48,15.65,40519100
19/11/2012,15.5,15.59,15.49,15.57,52152300
16/11/2012,15.22,15.3,15.06,15.28,63272900
15/11/2012,15.15,15.3,15.11,15.18,69665200
14/11/2012,15.45,15.5,15.1,15.15,68453100
13/11/2012,15.41,15.63,15.38,15.42,51958000
12/11/2012,15.57,15.57,15.47,15.53,33841000
09/11/2012,15.41,15.67,15.39,15.5,77198100
08/11/2012,15.68,15.81,15.47,15.48,92692700
07/11/2012,15.92,15.94,15.58,15.61,116871500
06/11/2012,16.02,16.2,16.01,16.15,40090000
05/11/2012,15.95,16,15.8,15.97,44338300
02/11/2012,16.19,16.2,15.97,16,53583000
01/11/2012,15.92,16.1,15.89,16.1,58605200
31/10/2012,15.86,15.91,15.79,15.9,43103000
26/10/2012,15.86,15.89,15.69,15.8,56449700
25/10/2012,15.99,16.02,15.77,15.88,52824700
24/10/2012,15.94,15.97,15.82,15.84,52593000
23/10/2012,15.9,15.91,15.78,15.84,64677300
22/10/2012,16.09,16.15,15.96,16.11,105146000
19/10/2012,16.29,16.29,16.03,16.11,61358100
18/10/2012,16.26,16.39,16.24,16.33,51546300
17/10/2012,16.15,16.31,16.13,16.3,57225500
16/10/2012,16.07,16.16,16.04,16.09,76878000
15/10/2012,15.87,16.01,15.8,15.99,55786900
12/10/2012,15.89,15.99,15.76,15.81,74143900
11/10/2012,16.1,16.13,16,16.03,61043000
10/10/2012,15.94,16.01,15.85,15.94,62495400
09/10/2012,16.06,16.12,15.9,15.95,73196800
08/10/2012,15.98,16.08,15.96,16.05,29742100
05/10/2012,16.18,16.23,16.01,16.06,61807300
04/10/2012,15.92,16.09,15.89,16.07,77943900
03/10/2012,15.76,15.89,15.66,15.83,55268400
02/10/2012,15.76,15.76,15.62,15.69,43878400
01/10/2012,15.7,15.85,15.62,15.66,53634600
28/09/2012,15.58,15.68,15.52,15.59,46071400
27/09/2012,15.59,15.72,15.54,15.64,46409500
26/09/2012,15.55,15.58,15.45,15.5,52766400
25/09/2012,15.88,15.93,15.59,15.6,71943000
24/09/2012,15.72,15.91,15.72,15.84,37701400
21/09/2012,16.02,16.02,15.82,15.83,34277500
20/09/2012,15.89,15.96,15.81,15.95,65889300
19/09/2012,16.09,16.15,16.01,16.04,65557800
18/09/2012,16.07,16.11,16,16.05,66409700
17/09/2012,16.22,16.28,16.09,16.13,48995300
14/09/2012,16.28,16.44,16.23,16.28,122192000
13/09/2012,15.73,16.2,15.68,16.15,140227500
12/09/2012,15.76,15.82,15.7,15.74,50928600
11/09/2012,15.55,15.69,15.52,15.68,57233000
10/09/2012,15.66,15.71,15.54,15.55,42815400
07/09/2012,15.57,15.71,15.57,15.68,46917000
06/09/2012,15.24,15.53,15.24,15.52,52373900
05/09/2012,15.16,15.21,15.11,15.16,26712600
04/09/2012,15.13,15.2,15.07,15.16,29392500
31/08/2012,15.14,15.2,15.05,15.16,52712800
30/08/2012,15.06,15.1,14.97,15.05,25627000
29/08/2012,15.13,15.17,15.08,15.13,18542900
28/08/2012,15.07,15.19,15.05,15.1,22597000
27/08/2012,15.18,15.19,15.08,15.12,18359700
24/08/2012,14.99,15.18,14.97,15.13,27618700
23/08/2012,15.17,15.19,15.03,15.05,40788000
22/08/2012,15.17,15.26,15.11,15.2,46883000
21/08/2012,15.23,15.38,15.16,15.22,41319400
20/08/2012,15.12,15.18,15.09,15.17,25744700
17/08/2012,15.13,15.14,15.08,15.13,24150600
16/08/2012,15.03,15.12,14.94,15.08,32575900
15/08/2012,14.94,15.03,14.91,14.98,20015300
14/08/2012,15.04,15.06,14.9,14.93,23021100
13/08/2012,14.91,14.97,14.85,14.95,16390600
10/08/2012,14.88,14.97,14.84,14.94,17629600
09/08/2012,14.92,15.01,14.89,14.93,26444200
08/08/2012,14.88,15,14.87,14.94,26311100
07/08/2012,14.92,15.06,14.91,14.94,35698900
06/08/2012,14.91,14.99,14.86,14.88,41308100
03/08/2012,14.7,14.9,14.68,14.82,80299800
02/08/2012,14.46,14.58,14.34,14.48,63439700
01/08/2012,14.72,14.77,14.59,14.59,80954400
31/07/2012,14.68,14.73,14.63,14.66,46676300
30/07/2012,14.73,14.82,14.69,14.73,36751700
27/07/2012,14.59,14.85,14.52,14.76,69399500
26/07/2012,14.49,14.53,14.4,14.49,56288800
25/07/2012,14.3,14.35,14.19,14.27,44903500
24/07/2012,14.3,14.3,14.09,14.22,45180400
23/07/2012,14.11,14.3,14.09,14.26,59157600
20/07/2012,14.49,14.5,14.36,14.38,56158000
19/07/2012,14.71,14.75,14.54,14.6,49590500
18/07/2012,14.71,14.78,14.64,14.69,55395800
17/07/2012,14.78,14.78,14.53,14.76,63167900
16/07/2012,14.72,14.74,14.61,14.68,49994100
13/07/2012,14.38,14.73,14.38,14.71,77960400
12/07/2012,14.33,14.4,14.25,14.31,54314800
11/07/2012,14.35,14.51,14.33,14.46,79600500
10/07/2012,14.56,14.6,14.28,14.34,64284000
09/07/2012,14.43,14.5,14.37,14.45,37296100
06/07/2012,14.4,14.52,14.39,14.47,44799200
05/07/2012,14.74,14.74,14.57,14.59,43927300
03/07/2012,14.7,14.85,14.67,14.81,32279600
02/07/2012,14.71,14.75,14.55,14.73,61389600
29/06/2012,14.62,14.65,14.51,14.64,62058700
28/06/2012,14.13,14.28,14.02,14.27,69826800
27/06/2012,14.18,14.33,14.1,14.28,56292700
26/06/2012,14.1,14.19,13.99,14.11,53473900
25/06/2012,14.13,14.14,13.97,14.04,50997200
22/06/2012,14.31,14.39,14.26,14.34,44890200
21/06/2012,14.56,14.63,14.18,14.21,72166900
20/06/2012,14.53,14.63,14.39,14.53,88067900
19/06/2012,14.35,14.57,14.34,14.5,64666600
18/06/2012,14.25,14.38,14.19,14.26,67977600
15/06/2012,14.22,14.35,14.12,14.34,84887900
14/06/2012,14.07,14.28,14.03,14.21,103621400
13/06/2012,14.02,14.23,13.97,14.04,96253900
12/06/2012,13.91,14.1,13.79,14.09,85467300
11/06/2012,14.32,14.33,13.86,13.88,103032300
08/06/2012,13.92,14.14,13.82,14.14,60611500
07/06/2012,14.19,14.24,13.93,13.97,92832900
06/06/2012,13.72,13.99,13.66,13.98,97510100
05/06/2012,13.33,13.61,13.32,13.58,100645900
04/06/2012,13.55,13.55,13.3,13.36,78808100
01/06/2012,13.74,13.76,13.48,13.49,100738600
31/05/2012,13.92,14.13,13.78,14.01,89644300
30/05/2012,14.06,14.08,13.89,13.89,85181000
29/05/2012,14.16,14.23,14.09,14.22,73374400
25/05/2012,14.05,14.14,13.98,14.02,41744000
24/05/2012,14.13,14.15,13.92,14.07,81129100
23/05/2012,13.88,14.09,13.75,14.06,111300000
22/05/2012,13.99,14.24,13.91,14.01,98657000
21/05/2012,13.83,13.99,13.7,13.9,86563000
18/05/2012,13.98,13.98,13.72,13.77,122960000
17/05/2012,14.2,14.22,13.92,13.93,154365900
16/05/2012,14.53,14.6,14.21,14.22,116348800
15/05/2012,14.52,14.61,14.4,14.43,99225000
14/05/2012,14.6,14.67,14.5,14.51,91698600
11/05/2012,14.66,14.95,14.64,14.81,99957000
10/05/2012,15.11,15.14,14.95,14.98,64929400
09/05/2012,14.9,15.03,14.8,14.92,94307600
08/05/2012,15.08,15.16,14.95,15.09,82012200
07/05/2012,15,15.24,15,15.19,82756500
04/05/2012,15.22,15.27,15.04,15.1,77245100
03/05/2012,15.48,15.49,15.28,15.34,84803400
02/05/2012,15.48,15.51,15.35,15.47,56541100
01/05/2012,15.43,15.71,15.41,15.59,84294500
30/04/2012,15.46,15.49,15.33,15.43,57682800
27/04/2012,15.58,15.59,15.41,15.52,48471700
26/04/2012,15.33,15.55,15.32,15.51,47467800
25/04/2012,15.36,15.42,15.24,15.38,74236700
24/04/2012,15.09,15.25,15.09,15.25,61861900
23/04/2012,14.95,15.09,14.92,15.08,74022700
20/04/2012,15.34,15.34,15.18,15.19,55956900
19/04/2012,15.43,15.43,15.16,15.27,106645800
18/04/2012,15.34,15.47,15.32,15.34,53127400
17/04/2012,15.38,15.5,15.3,15.46,66453100
16/04/2012,15.27,15.34,15.11,15.24,112216800
13/04/2012,15.46,15.46,15.1,15.13,92646900
12/04/2012,15.25,15.51,15.2,15.49,87449400
11/04/2012,15.18,15.27,15.14,15.21,74287300
10/04/2012,15.28,15.35,14.95,14.97,118222300
09/04/2012,15.24,15.38,15.2,15.3,88693000
05/04/2012,15.5,15.64,15.47,15.54,58206400
04/04/2012,15.65,15.69,15.51,15.58,84646200
03/04/2012,15.88,15.91,15.69,15.83,104842300
02/04/2012,15.73,15.99,15.7,15.92,89521400
30/03/2012,15.81,15.82,15.65,15.8,59862000
29/03/2012,15.75,15.79,15.57,15.71,102831500
28/03/2012,15.83,15.91,15.69,15.87,105369600
27/03/2012,15.96,16.01,15.81,15.83,84937300
26/03/2012,15.88,15.98,15.82,15.98,77177100
23/03/2012,15.57,15.75,15.47,15.73,73897600
22/03/2012,15.66,15.71,15.53,15.6,105978300
21/03/2012,15.94,15.95,15.77,15.81,75827400
20/03/2012,15.7,15.92,15.67,15.88,88405400
19/03/2012,15.72,15.97,15.66,15.8,112953200
16/03/2012,15.73,15.76,15.63,15.72,83001200
15/03/2012,15.5,15.74,15.37,15.71,132296800
14/03/2012,15.45,15.5,15.28,15.44,130412900
13/03/2012,14.97,15.44,14.95,15.42,184071700
12/03/2012,14.89,14.9,14.74,14.85,56290000
09/03/2012,14.82,14.97,14.79,14.89,74069300
08/03/2012,14.73,14.8,14.65,14.77,68478300
07/03/2012,14.51,14.65,14.48,14.63,67333600
06/03/2012,14.58,14.62,14.4,14.45,93728000
05/03/2012,14.83,14.83,14.73,14.81,51618300
02/03/2012,14.92,14.96,14.85,14.87,47804100
01/03/2012,14.8,14.97,14.79,14.92,66244100
29/02/2012,14.83,14.96,14.72,14.76,93924200
28/02/2012,14.81,14.86,14.71,14.82,52379700
27/02/2012,14.54,14.82,14.48,14.78,61857500
24/02/2012,14.75,14.77,14.63,14.67,51251400
23/02/2012,14.59,14.72,14.54,14.72,51965000
22/02/2012,14.71,14.76,14.58,14.59,74647000
21/02/2012,14.8,14.87,14.72,14.78,63755500
17/02/2012,14.74,14.81,14.71,14.79,61472500
16/02/2012,14.44,14.7,14.39,14.7,78045800
15/02/2012,14.6,14.67,14.43,14.47,75978500
14/02/2012,14.63,14.64,14.42,14.56,80589000
13/02/2012,14.73,14.75,14.66,14.7,47036200
10/02/2012,14.55,14.59,14.49,14.57,64631700
09/02/2012,14.83,14.86,14.63,14.71,77872300
08/02/2012,14.68,14.77,14.63,14.77,53730300
07/02/2012,14.61,14.71,14.55,14.66,45645500
06/02/2012,14.65,14.68,14.58,14.67,44906300
03/02/2012,14.59,14.74,14.57,14.74,86783700
02/02/2012,14.33,14.41,14.25,14.35,53338900
01/02/2012,14.18,14.38,14.18,14.28,71415400
31/01/2012,14.09,14.11,13.96,14.06,67087200
30/01/2012,13.97,14.03,13.88,14,58257100
27/01/2012,14,14.18,13.98,14.13,84112400
26/01/2012,14.27,14.34,14,14.08,84659200
25/01/2012,14.09,14.24,14.04,14.2,84290800
24/01/2012,14.05,14.19,13.98,14.17,65515900
23/01/2012,14.15,14.29,14.1,14.19,80687200
20/01/2012,14,14.16,13.96,14.14,93279700
19/01/2012,14.06,14.1,13.99,14.05,106724000
18/01/2012,13.68,13.94,13.62,13.92,96242000
17/01/2012,13.83,13.97,13.66,13.71,72314900
13/01/2012,13.64,13.83,13.58,13.82,77180300
12/01/2012,13.93,14,13.75,13.92,76447700
11/01/2012,13.65,13.88,13.6,13.87,65750600
10/01/2012,13.68,13.76,13.62,13.71,69890400
09/01/2012,13.45,13.53,13.38,13.47,56206000
06/01/2012,13.49,13.49,13.31,13.4,68138600
05/01/2012,13.18,13.55,13.12,13.48,73058700
04/01/2012,13.24,13.35,13.15,13.3,56729400
03/01/2012,13.28,13.47,13.27,13.34,83965900
30/12/2011,13.03,13.07,12.99,13,27727100
