Date,Open,High,Low,Close,Volume
15/02/2019,26.09,26.43,25.879999,26.43,46745800
14/02/2019,26,26.08,25.73,25.879999,47630100
13/02/2019,26.25,26.43,26.190001,26.200001,42969600
12/02/2019,25.940001,26.23,25.93,26.129999,37671300
11/02/2019,25.75,25.799999,25.620001,25.75,53115700
08/02/2019,25.66,25.780001,25.34,25.67,54911100
07/02/2019,25.98,26.049999,25.59,25.799999,80395700
06/02/2019,26.01,26.200001,25.969999,26.059999,51542800
05/02/2019,26.209999,26.23,25.99,26.09,39094900
04/02/2019,26.059999,26.17,25.92,26.16,30362500
01/02/2019,25.98,26.17,25.950001,26.049999,42920300
31/01/2019,25.76,25.98,25.719999,25.940001,64021500
30/01/2019,25.91,26.139999,25.73,25.98,62076800
29/01/2019,25.91,26.01,25.82,25.83,29442100
28/01/2019,25.75,25.950001,25.709999,25.92,66894900
25/01/2019,25.969999,26.17,25.9,26,63140000
24/01/2019,25.639999,25.860001,25.559999,25.790001,25496900
23/01/2019,25.799999,25.83,25.440001,25.73,44072000
22/01/2019,25.780001,25.91,25.57,25.700001,79651700
18/01/2019,25.74,26.030001,25.530001,26,58400200
17/01/2019,25.32,25.65,25.17,25.559999,55771300
16/01/2019,25.18,25.57,25.110001,25.42,72982400
15/01/2019,24.57,24.93,24.5,24.889999,59156500
14/01/2019,24.26,24.75,24.23,24.67,50610600
11/01/2019,24.32,24.549999,24.18,24.5,44961600
10/01/2019,24.290001,24.52,24.209999,24.440001,48630500
09/01/2019,24.370001,24.52,24.200001,24.43,61037100
08/01/2019,24.51,24.549999,24.030001,24.309999,90114700
07/01/2019,24.209999,24.51,24.059999,24.290001,48167000
04/01/2019,23.879999,24.309999,23.82,24.26,64638400
03/01/2019,23.84,23.9,23.42,23.48,65729700
02/01/2019,23.469999,24.07,23.4,24.02,62945000
31/12/2018,23.719999,23.92,23.52,23.82,56435400
28/12/2018,23.709999,23.9,23.49,23.59,76348400
27/12/2018,22.93,23.6,22.709999,23.6,98005000
26/12/2018,22.370001,23.33,22.049999,23.32,108133500
24/12/2018,22.49,22.75,22.280001,22.309999,71752700
21/12/2018,23.23,23.67,22.74,22.790001,118502300
20/12/2018,23.379999,23.75,23.27,23.4,107016900
19/12/2018,23.860001,24.389999,23.42,23.610001,129331700
18/12/2018,24.139999,24.4,23.76,23.91,90844000
17/12/2018,24.1,24.469999,23.889999,24,101180400
14/12/2018,24.24,24.58,24.190001,24.24,66817000
13/12/2018,24.65,24.780001,24.389999,24.48,67232900
12/12/2018,24.860001,25.02,24.540001,24.66,86748900
11/12/2018,25.07,25.219999,24.43,24.52,92308200
