Date,price,30d iv put
13/09/2013,14.48,0.5768
12/09/2013,14.7,0.5979
11/09/2013,14.47,0.5837
10/09/2013,14.945,0.5931
09/09/2013,15.52,0.6566
06/09/2013,16.12,0.6842
05/09/2013,16.01,0.6813
04/09/2013,16.34,0.705
03/09/2013,16.41,0.7276
30/08/2013,17.04,0.7913
29/08/2013,16.86,0.7489
28/08/2013,16.48,0.6862
27/08/2013,16.53,0.7147
26/08/2013,15.29,0.6039
23/08/2013,14.8,0.5812
22/08/2013,15.12,0.6467
21/08/2013,15.49,0.681
20/08/2013,15.21,0.6789
19/08/2013,15.39,0.6361
16/08/2013,14.969,0.5743
15/08/2013,15.26,0.6391
14/08/2013,14.49,0.5493
13/08/2013,14.389,0.5758
12/08/2013,14.518,0.5906
09/08/2013,14.6,0.5614
08/08/2013,14.41,0.5493
07/08/2013,14.638,0.5796
06/08/2013,14.481,0.5541
05/08/2013,14.05,0.5221
02/08/2013,14.25,0.5226
01/08/2013,14.6,0.5334
31/07/2013,15.065,0.5099
30/07/2013,15.4,0.5756
29/07/2013,15.71,0.5946
26/07/2013,15.51,0.5834
25/07/2013,15.56,0.5671
24/07/2013,15.96,0.5771
23/07/2013,15.75,0.5618
22/07/2013,15.83,0.5459
19/07/2013,16.17,0.5307
18/07/2013,16.53,0.5262
17/07/2013,16.81,0.5341
16/07/2013,17.41,0.5699
15/07/2013,16.97,0.5213
12/07/2013,17.35,0.5185
11/07/2013,17.18,0.5244
10/07/2013,17.66,0.5567
09/07/2013,17.84,0.5242
08/07/2013,18.21,0.5488
05/07/2013,19.06,0.5713
03/07/2013,20.12,0.6317
02/07/2013,20.3,0.6147
01/07/2013,20.06,0.6019
28/06/2013,20.71,0.6355
27/06/2013,20.81,0.6348
26/06/2013,21.68,0.7168
25/06/2013,22.165,0.7602
24/06/2013,22.81,0.8061
21/06/2013,21.56,0.724
20/06/2013,22.41,0.8552
19/06/2013,20.058,0.6818
18/06/2013,20.08,0.6831
17/06/2013,20.38,0.6991
14/06/2013,20.79,0.7079
13/06/2013,20.22,0.7166
12/06/2013,21.2,0.7602
11/06/2013,20.02,0.713
10/06/2013,18.78,0.5823
07/06/2013,19.04,0.6128
06/06/2013,19.94,0.7247
05/06/2013,20.16,0.6956
04/06/2013,19.34,0.605
03/06/2013,19.11,0.5974
31/05/2013,19.142,0.5774
30/05/2013,18.538,0.5339
29/05/2013,18.548,0.5544
28/05/2013,18.27,0.5367
24/05/2013,18.73,0.5665
23/05/2013,18.78,0.6158
22/05/2013,18.63,0.5889
21/05/2013,18.43,0.5727
20/05/2013,18.27,0.564
17/05/2013,18.03,0.5639
16/05/2013,18.51,0.5628
15/05/2013,18.35,0.5751
14/05/2013,18.2,0.5742
13/05/2013,18.38,0.5925
10/05/2013,18.46,0.5821
09/05/2013,18.642,0.5996
08/05/2013,18.31,0.558
07/05/2013,18.19,0.5804
06/05/2013,18.38,0.5996
03/05/2013,18.688,0.6215
02/05/2013,19.11,0.6754
01/05/2013,19.77,0.7203
30/04/2013,18.97,0.6602
29/04/2013,19.152,0.6671
26/04/2013,19.24,0.68
25/04/2013,19.25,0.6844
24/04/2013,19.04,0.6817
23/04/2013,18.98,0.6501
22/04/2013,19.99,0.7203
19/04/2013,20.44,0.7331
18/04/2013,22.04,0.8103
17/04/2013,21.07,0.8001
16/04/2013,18.9,0.6632
15/04/2013,20.52,0.7164
12/04/2013,18.35,0.592
11/04/2013,18.7,0.5948
10/04/2013,18.79,0.5857
09/04/2013,19.29,0.5905
08/04/2013,19.55,0.6217
05/04/2013,20.112,0.6667
04/04/2013,20.03,0.6444
03/04/2013,20.39,0.6229
02/04/2013,19.69,0.625
01/04/2013,20.32,0.6727
28/03/2013,20.25,0.6473
27/03/2013,20.34,0.6508
26/03/2013,20.14,0.6568
25/03/2013,20.68,0.6766
22/03/2013,20.95,0.6801
21/03/2013,21.02,0.6957
20/03/2013,20.442,0.619
19/03/2013,21.58,0.6853
18/03/2013,21.577,0.683
15/03/2013,20.51,0.5968
14/03/2013,20.53,0.616
13/03/2013,20.93,0.6142
12/03/2013,21.05,0.6325
11/03/2013,20.73,0.6162
08/03/2013,21.63,0.6216
07/03/2013,21.928,0.6482
06/03/2013,22.39,0.666
05/03/2013,22.28,0.685
04/03/2013,23.06,0.7034
01/03/2013,24.328,0.7113
28/02/2013,23.97,0.6884
27/02/2013,23.27,0.6835
26/02/2013,24.93,0.7248
25/02/2013,25.56,0.8061
22/02/2013,22.48,0.6442
21/02/2013,23.27,0.6607
20/02/2013,22.83,0.6192
19/02/2013,21.02,0.5689
15/02/2013,21.965,0.5311
14/02/2013,22.16,0.5508
13/02/2013,22.49,0.5644
12/02/2013,22.37,0.5729
11/02/2013,22.6,0.5981
08/02/2013,22.99,0.597
07/02/2013,23.46,0.6187
06/02/2013,23.55,0.6509
05/02/2013,23.671,0.6429
04/02/2013,24.68,0.6884
01/02/2013,23.09,0.6116
31/01/2013,24.34,0.651
