Date,Open,High,Low,Close,Volume
15/02/2019,65.75,66.169998,65.599998,66.120003,10180800
14/02/2019,64.610001,65.559998,64.489998,65.07,10213200
13/02/2019,64.300003,65.349998,64.230003,64.839996,13061700
12/02/2019,64.089996,64.410004,63.299999,64.040001,10677300
11/02/2019,62.639999,63.34,62.459999,63.240002,12497400
08/02/2019,63.060001,63.209999,61.869999,62.939999,10634400
07/02/2019,64.260002,64.480003,62.639999,63.23,14600100
06/02/2019,64.830002,65.010002,64.599998,64.660004,6803800
05/02/2019,64.989998,65.25,64.779999,65.139999,7852700
04/02/2019,64.449997,65.059998,63.970001,65.040001,10107900
01/02/2019,64.470001,65.269997,64.260002,64.889999,14772400
31/01/2019,63.470001,64.080002,63.299999,63.779999,17844200
30/01/2019,62.880001,63.57,62.540001,63.369999,12116500
29/01/2019,62.66,62.91,62.439999,62.490002,11884100
28/01/2019,62.099998,62.330002,61.619999,62.299999,12022400
25/01/2019,62.669998,63.32,62.57,62.93,10233600
24/01/2019,61.68,62.700001,61.43,62.139999,13049200
23/01/2019,62.669998,62.75,61.299999,61.810001,23367700
22/01/2019,63.139999,63.279999,62.279999,62.450001,19863200
18/01/2019,63.310001,63.889999,62.939999,63.84,14531800
17/01/2019,61.529999,62.84,61.389999,62.57,10174800
16/01/2019,62.009998,62.509998,61.790001,62,12541100
15/01/2019,62.200001,62.669998,61.77,62.080002,9821200
14/01/2019,61.419998,62.110001,61.330002,61.860001,13191700
11/01/2019,62.060001,62.41,61.459999,62.009998,14105900
10/01/2019,61.73,62.459999,61.380001,62.380001,19167600
09/01/2019,62.049999,62.41,61.41,62.200001,18756800
08/01/2019,61.610001,61.75,60.900002,61.23,18692300
07/01/2019,60.32,61.200001,59.52,60.759998,18056700
04/01/2019,58.900002,60.049999,58.560001,59.869999,21351500
03/01/2019,58.650002,58.860001,57.240002,57.900002,18024100
02/01/2019,56.439999,58.869999,56.150002,58.48,24892600
31/12/2018,57.560001,57.77,56.68,57.349998,18705200
28/12/2018,57.75,58.009998,56.700001,57.049999,19437400
27/12/2018,56.040001,57.560001,55.279999,57.490002,24377300
26/12/2018,54.360001,57.200001,53.360001,57.189999,29097000
24/12/2018,55.450001,55.720001,53.790001,53.84,15605900
21/12/2018,56.669998,57.610001,55.639999,56.110001,37393700
20/12/2018,58.099998,58.990002,56.84,57.189999,38504400
19/12/2018,59.830002,60.959999,58.330002,58.82,45548900
18/12/2018,60.849998,61.07,59.189999,59.52,26617000
17/12/2018,61.93,62.450001,60.52,60.959999,20732300
14/12/2018,63.150002,63.41,61.790001,62.09,22893600
13/12/2018,63.189999,63.939999,62.91,63.540001,15299000
12/12/2018,64.120003,64.550003,63.299999,63.34,19267400
11/12/2018,64.040001,64.160004,62.43,63.09,17241600
10/12/2018,63.619999,63.93,61.619999,63.07,23382800
07/12/2018,65.660004,66.629997,63.959999,64.07,27445700
06/12/2018,64.199997,64.529999,63.07,64.43,35356100
04/12/2018,67.610001,67.830002,65.519997,65.639999,18296300
03/12/2018,67.620003,67.989998,66.790001,67.580002,21995400
30/11/2018,65.650002,66.300003,65.32,66.110001,18129000
29/11/2018,65.849998,66.760002,65.760002,66.230003,14414200
28/11/2018,64.629997,65.849998,64.220001,65.800003,21148200
27/11/2018,64.540001,65.160004,64.32,64.690002,22264300
