{WebName},{DateRead},{open},{close},{high},{low},{AnalyzedOne},{AnalyzedTwo},{AnalyzedTwoPer},{signalType},{signalResult},{profitPer},{dateClose},{lossCut},{profitCut}
VXX.HIS,21/12/2018,44.82,47.16,47.68,44.16,1,-1,94.44444,Short,Miss,-0.07,27/12/2018,0,0
VXX.HIS,17/12/2018,40.97,42.67,43.41,40.32,1,-1,93.38102,Short,Miss,-0.07,20/12/2018,0,0
VXX.HIS,10/10/2018,29.65,34,34.08,29.65,-1,-1,99.02792,Short,Miss,-0.07,11/10/2018,0,0
VXX.HIS,13/8/2018,30.31,31.8,31.8,29.27,-1,-1,85.10637,Short,Hit,0.07359886,21/8/2018,0,0
VXX.HIS,30/7/2018,31.12,32.3,32.7,31.11,-1,0,84.12693,Short,Hit,0.1270063,7/8/2018,0,0
VXX.HIS,22/3/2018,44.45,47.47,47.83,43.32,1,-1,96.09544,Short,Miss,-0.07,28/3/2018,0,0
VXX.HIS,2/2/2018,29.87,32.92,33.54,29.87,-1,-1,91.38885,Short,Miss,-0.07,5/2/2018,0,0
VXX.HIS,29/1/2018,28.3,29.65,29.73,27.58,-1,-1,97.82609,Short,Miss,-0.07,30/1/2018,0,0
VXX.HIS,29/12/2017,27.33,27.92,28.04,27.33,-1,0,64.83519,Short,Hit,0.06240484,9/1/2018,0,0
VXX.HIS,9/10/2017,36.95,37.89,38.24,36.89,-1,0,24.75247,Short,Hit,0.08816771,17/10/2017,0,0
VXX.HIS,10/8/2017,48,53.16,53.4,47.96,-1,-1,97.52065,Short,Miss,-0.0007518969,18/8/2017,0,0
VXX.HIS,17/5/2017,57.88,64.4,64.44,57.04,-1,-1,99.60937,Short,Hit,0.1751825,25/5/2017,0,0
VXX.HIS,10/4/2017,66.08,68.28,68.32,65.28,-1,-1,99.43819,Short,Miss,-0.07,13/4/2017,0,0
VXX.HIS,22/3/2017,66.32,65.96,67.28,65,-1,0,56.24999,Short,Hit,0.06249996,30/3/2017,0,0
VXX.HIS,28/2/2017,72.32,73.68,74.2,71.84,-1,0,72.17393,Short,Hit,0.06412482,8/3/2017,0,0
VXX.HIS,15/2/2017,67.48,69.64,69.84,67.04,-1,0,25.8964,Short,Miss,-0.08223508,24/2/2017,0,0
VXX.HIS,28/12/2016,94.8,98.48,98.76,94.48,-1,0,37.03705,Short,Hit,0.112517,6/1/2017,0,0
VXX.HIS,2/11/2016,141.24,143.68,145.08,140.48,-1,-1,86.78068,Short,Hit,0.1169154,10/11/2016,0,0
VXX.HIS,31/10/2016,132.96,136.56,137.52,132.6,-1,-1,94.05936,Short,Miss,-0.07,1/11/2016,0,0
VXX.HIS,12/10/2016,136.64,137.48,139.08,134.16,-1,0,80.76922,Short,Hit,0.06474598,20/10/2016,0,0
VXX.HIS,9/9/2016,139.36,155.56,155.8,138.76,-1,-1,98.93426,Short,Miss,-0.07,13/9/2016,0,0
VXX.HIS,24/6/2016,260,269.28,275.2,239.2,-1,-1,87.56615,Short,Hit,0.2,30/6/2016,0,0
VXX.HIS,10/6/2016,220.96,230.24,231.36,219.04,-1,-1,96.23657,Short,Miss,-0.07,13/6/2016,0,0
VXX.HIS,28/4/2016,250.72,260.48,262.4,241.6,-1,0,57.84318,Short,Miss,-0.07,29/4/2016,0,0
VXX.HIS,11/4/2016,290.4,300.16,300.48,287.2,-1,0,74.26159,Short,Hit,0.2,19/4/2016,0,0
VXX.HIS,7/1/2016,364,377.6,383.2,354.72,-1,-1,93.01396,Short,Miss,-0.07,11/1/2016,0,0
VXX.HIS,9/12/2015,311.68,319.84,329.44,300,-1,0,79.09407,Short,Miss,-0.07,11/12/2015,0,0
