{WebName},{DateRead},{open},{close},{high},{low},{AnalyzedOne},{AnalyzedTwo},{AnalyzedTwoPer},{signalType},{signalResult},{profitPer},{dateClose},{lossCut},{profitCut}
VXX.HIS,11/12/2018,38.73,39.98,41.29,38.59,1,0,80.63313,Short,Miss,-0.07,17/12/2018,0,0
VXX.HIS,20/11/2018,39.53,39.34,40.31,38.72,-1,0,75.61337,Short,Hit,0.1087937,29/11/2018,0,0
VXX.HIS,14/11/2018,35.59,37.24,38.31,35.5,-1,0,72.82627,Short,Miss,-0.07,20/11/2018,0,0
VXX.HIS,24/10/2018,35.64,39,39.48,35.45,-1,0,68.77285,Short,Miss,-0.07,29/10/2018,0,0
VXX.HIS,11/10/2018,33.56,36.87,38.69,32.64,-1,0,85.16393,Short,Hit,0.08281938,19/10/2018,0,0
VXX.HIS,10/10/2018,29.65,34,34.08,29.65,-1,0,76.48449,Short,Miss,-0.07,11/10/2018,0,0
VXX.HIS,8/10/2018,29.14,28.66,30.55,28.48,-1,0,62.09285,Short,Miss,-0.07,10/10/2018,0,0
VXX.HIS,27/9/2018,26.86,26.72,26.95,26.52,-1,0,36,Short,Miss,-0.07,4/10/2018,0,0
VXX.HIS,10/9/2018,30.26,30.02,30.37,29.78,-1,0,70.58251,Short,Hit,0.06946921,18/9/2018,0,0
VXX.HIS,10/8/2018,29.81,29.94,30.59,29.37,-1,0,21.81352,Short,Miss,-0.07,15/8/2018,0,0
VXX.HIS,31/7/2018,31.48,31.4,31.85,31.21,-1,0,62.2484,Short,Hit,0.1158493,8/8/2018,0,0
VXX.HIS,25/6/2018,34.24,38.11,39.74,34.24,-1,0,72.8968,Short,Hit,0.02089469,3/7/2018,0,0
VXX.HIS,19/6/2018,33.33,32.79,33.92,32.43,-1,0,31.69362,Short,Miss,-0.07,25/6/2018,0,0
VXX.HIS,29/5/2018,35.85,38.51,39.55,35.08,1,0,36.56298,Short,Hit,0.1952203,6/6/2018,0,0
VXX.HIS,25/4/2018,44.28,44.49,45.88,44.17,1,0,46.91537,Short,Hit,0.07256515,3/5/2018,0,0
