{WebName},{DateRead},{open},{close},{high},{low},{AnalyzedOne},{AnalyzedTwo},{AnalyzedTwoPer},{signalType},{signalResult},{profitPer},{dateClose},{lossCut},{profitCut}
DIA.HIS,14/2/2019,254.54,255.16,256.17,253.62,-1,-1,88.52567,Short,None,-0.01367765,1/1/2001,0,0
DIA.HIS,31/1/2019,248.95,250.12,250.43,248.34,-1,-1,81.25912,Short,Miss,-0.004797746,8/2/2019,0,0
DIA.HIS,25/1/2019,247.39,247.39,248.55,246.68,-1,-1,84.45895,Short,Miss,-0.01992808,4/2/2019,0,0
DIA.HIS,7/1/2019,234.84,235.36,236.88,232.95,-1,-1,81.5584,Short,Miss,-0.02243371,15/1/2019,0,0
DIA.HIS,11/12/2018,248.44,244.23,248.5,242.66,1,1,19.37341,Long,Miss,-0.04426155,19/12/2018,0,0
DIA.HIS,20/11/2018,246.36,244.5,246.93,243.53,1,1,18.10189,Long,Hit,0.0371779,29/11/2018,0,0
DIA.HIS,14/11/2018,255.02,250.91,255.29,249.67,1,1,19.92821,Long,Miss,-0.03228252,23/11/2018,0,0
DIA.HIS,26/10/2018,247.38,246.53,249.04,244.31,1,1,18.3812,Long,Hit,0.03224758,5/11/2018,0,0
DIA.HIS,11/10/2018,254.73,250.27,256.73,248.86,1,1,12.89839,Long,Hit,0.01618253,19/10/2018,0,0
DIA.HIS,20/6/2018,247.96,246.46,247.98,246.12,1,1,17.6105,Long,Miss,-0.01777167,28/6/2018,0,0
DIA.HIS,22/3/2018,244.09,239.36,245.03,239.17,1,1,16.68931,Long,Miss,-0.01341079,2/4/2018,0,0
DIA.HIS,2/3/2018,243.55,245.35,245.92,242.16,1,1,18.92842,Long,Hit,0.02694111,12/3/2018,0,0
DIA.HIS,5/2/2018,252.22,243.27,255.02,239.06,1,1,16.34698,Long,Hit,0.01356519,13/2/2018,0,0
DIA.HIS,21/8/2017,216.46,216.74,216.92,215.73,1,1,8.900963,Long,Hit,0.00853553,29/8/2017,0,0
DIA.HIS,14/8/2017,219.88,219.97,220.29,219.81,1,1,18.34348,Long,Miss,-0.00581897,22/8/2017,0,0
DIA.HIS,18/4/2017,205.36,205.08,205.81,204.42,1,1,19.7358,Long,Hit,0.02140628,26/4/2017,0,0
DIA.HIS,13/4/2017,205.34,204.37,205.94,204.36,1,1,19.88311,Long,Hit,0.01472824,24/4/2017,0,0
DIA.HIS,22/3/2017,205.96,206.41,206.57,205.5,1,1,20.96899,Long,Hit,0.002664614,30/3/2017,0,0
DIA.HIS,30/12/2016,198.25,197.51,198.27,196.92,1,1,16.0536,Long,Hit,0.004506098,10/1/2017,0,0
DIA.HIS,3/11/2016,179.7,179.11,179.89,178.84,1,1,15.07981,Long,Hit,0.05225839,11/11/2016,0,0
DIA.HIS,20/9/2016,181.81,181.05,182.04,181.03,1,1,19.84087,Long,Hit,0.01132286,28/9/2016,0,0
DIA.HIS,25/8/2016,184.28,184.37,184.79,184.1,1,1,19.5695,Long,Hit,0.002657729,2/9/2016,0,0
DIA.HIS,2/8/2016,183.7,182.97,183.88,182.31,1,1,20.42478,Long,Hit,0.01175053,10/8/2016,0,0
DIA.HIS,28/6/2016,172.85,173.82,173.86,172.2,1,1,16.71453,Long,Hit,0.02859272,7/7/2016,0,0
DIA.HIS,15/6/2016,177.25,176.57,177.84,176.38,1,1,18.44286,Long,Hit,0.01834961,23/6/2016,0,0
DIA.HIS,19/5/2016,174.95,174.68,175.2,173.67,1,1,18.65169,Long,Hit,0.0218686,27/5/2016,0,0
DIA.HIS,5/5/2016,176.83,176.44,177.22,176,1,1,14.07183,Long,Miss,-0.005440981,13/5/2016,0,0
DIA.HIS,29/3/2016,174.49,176.07,176.18,174.06,-1,-1,81.85244,Short,Miss,-0.005509092,6/4/2016,0,0
DIA.HIS,2/3/2016,168.02,168.89,168.93,167.55,-1,-1,84.11301,Short,Miss,-0.006927575,10/3/2016,0,0
DIA.HIS,18/2/2016,165.33,164.52,165.45,164.29,-1,-1,86.77325,Short,Miss,-0.01069775,26/2/2016,0,0
DIA.HIS,1/2/2016,163.39,164.34,164.97,162.82,-1,-1,90.51437,Short,Hit,0.02494822,9/2/2016,0,0
DIA.HIS,6/1/2016,168.92,168.94,169.97,168.01,1,1,20.14818,Long,Miss,-0.03166808,14/1/2016,0,0
DIA.HIS,22/12/2015,173.1,174.01,174.28,172.18,1,1,20.95888,Long,Miss,-0.0001148728,31/12/2015,0,0
DIA.HIS,11/12/2015,173.65,172.73,174.38,172.45,1,1,19.62872,Long,Miss,-0.002778879,21/12/2015,0,0
DIA.HIS,1/12/2015,177.92,178.81,178.9,177.64,-1,-1,79.37731,Short,Hit,0.02136341,9/12/2015,0,0
DIA.HIS,20/11/2015,178.17,178.06,178.97,177.66,-1,-1,83.85678,Short,Miss,-0.004212063,1/12/2015,0,0
