{WebName},{DateRead},{open},{close},{high},{low},{AnalyzedOne},{AnalyzedTwo},{AnalyzedTwoPer},{signalType},{signalResult},{profitPer},{dateClose},{lossCut},{profitCut}
SPY.HIS,13/2/2019,275.03,274.99,275.93,274.56,-1,-1,83.97219,Short,None,-0.008654878,1/1/2001,0,0
SPY.HIS,1/2/2019,270.15,270.06,271.2,269.18,-1,-1,90.89931,Short,Miss,-0.002073604,11/2/2019,0,0
SPY.HIS,7/1/2019,252.69,254.38,255.95,251.69,-1,-1,82.57151,Short,Miss,-0.02346883,15/1/2019,0,0
SPY.HIS,30/11/2018,273.81,275.65,276.28,273.45,-1,-1,93.73176,Short,Hit,0.04179209,11/12/2018,0,0
SPY.HIS,21/11/2018,265.86,265.02,267.15,265.01,1,1,10.56602,Long,Hit,0.0401102,30/11/2018,0,0
SPY.HIS,14/11/2018,274.16,270.2,274.61,268.45,1,1,20.18855,Long,Miss,-0.02572173,23/11/2018,0,0
SPY.HIS,26/10/2018,265.92,265.33,271,262.29,1,1,17.5309,Long,Hit,0.03037737,5/11/2018,0,0
SPY.HIS,10/10/2018,286.83,278.3,286.91,277.88,1,1,19.15793,Long,Miss,-0.006827143,18/10/2018,0,0
SPY.HIS,27/6/2018,272.26,269.35,273.87,269.18,1,1,15.23833,Long,Hit,0.02253576,6/7/2018,0,0
SPY.HIS,25/6/2018,273.44,271,273.62,269.1,1,1,16.85764,Long,Miss,-0.0003690262,3/7/2018,0,0
SPY.HIS,21/3/2018,270.9,270.43,273.27,270.19,1,1,16.99182,Long,Miss,-0.02692009,29/3/2018,0,0
SPY.HIS,9/2/2018,260.8,261.5,263.61,252.92,1,1,19.73964,Long,Hit,0.03785849,20/2/2018,0,0
SPY.HIS,2/2/2018,280.08,275.45,280.23,275.41,1,1,19.91715,Long,Miss,-0.03670363,12/2/2018,0,0
SPY.HIS,21/8/2017,242.64,242.9,243.2,241.83,1,1,8.747231,Long,Hit,0.008028045,29/8/2017,0,0
SPY.HIS,11/8/2017,244.02,244.12,244.8,243.75,1,1,16.98911,Long,Miss,-0.004997547,21/8/2017,0,0
SPY.HIS,13/4/2017,233.64,232.51,234.49,232.51,1,1,19.83541,Long,Hit,0.02004216,24/4/2017,0,0
SPY.HIS,22/3/2017,233.77,234.28,234.61,233.05,1,1,16.54874,Long,Hit,0.008579454,30/3/2017,0,0
SPY.HIS,30/12/2016,224.73,223.53,224.83,222.73,1,1,13.77317,Long,Hit,0.0131079,10/1/2017,0,0
SPY.HIS,2/11/2016,210.65,209.74,211.1,209.23,1,1,18.76442,Long,Hit,0.03423283,10/11/2016,0,0
SPY.HIS,20/9/2016,214.41,213.42,214.59,213.38,1,1,16.00039,Long,Hit,0.01508763,28/9/2016,0,0
SPY.HIS,28/6/2016,201.48,203.2,203.23,201.12,1,1,17.12958,Long,Hit,0.03115158,7/7/2016,0,0
SPY.HIS,14/6/2016,208,208.04,208.74,206.92,1,1,18.48601,Long,Hit,0.0002884677,22/6/2016,0,0
SPY.HIS,5/5/2016,205.56,204.97,205.98,204.47,1,1,14.26596,Long,Miss,-0.001024573,13/5/2016,0,0
SPY.HIS,31/3/2016,205.91,205.52,206.41,205.33,-1,-1,84.53387,Short,Hit,0.004963041,8/4/2016,0,0
SPY.HIS,11/3/2016,201.26,202.76,202.81,199.52,-1,-1,84.08985,Short,Miss,-0.009420022,21/3/2016,0,0
SPY.HIS,18/2/2016,193.2,192.09,193.27,191.72,-1,-1,86.95776,Short,Miss,-0.01561768,26/2/2016,0,0
SPY.HIS,1/2/2016,192.53,193.65,194.58,191.84,-1,-1,89.55087,Short,Hit,0.04244772,9/2/2016,0,0
SPY.HIS,11/12/2015,203.35,201.88,204.14,201.51,1,1,15.22928,Long,Miss,-0.001040255,21/12/2015,0,0
SPY.HIS,20/11/2015,209.45,209.31,210.12,208.86,-1,-1,85.80204,Short,Miss,-0.006545292,1/12/2015,0,0
