date,close,high,low,open,volume,,,,,,
08/04/2016,6204.41,6216.28,6136.89,6136.89,0,,0,,0,0,0
07/04/2016,6136.89,6204.11,6119.38,6161.63,0,,0,,0,0,0
06/04/2016,6161.63,6161.63,6091.23,6091.23,0,,0,,0,0,0
05/04/2016,6091.23,6164.74,6061.85,6164.72,0,,0,,0,0,0
04/04/2016,6164.72,6201.95,6132.9,6146.05,0,,0,,0,0,0
01/04/2016,6146.05,6174.9,6076.89,6174.9,0,,0,,0,0,0
31/03/2016,6174.9,6203.39,6149.82,6203.17,0,,0,,0,0,0
30/03/2016,6203.17,6221.8,6105.9,6105.9,0,,0,,0,0,0
29/03/2016,6105.9,6156.67,6070.77,6106.48,0,,0,,0,0,0
24/03/2016,6106.48,6199.11,6090.03,6199.11,0,,0,,0,0,0
23/03/2016,6199.11,6216.76,6171.13,6192.74,0,,0,,0,0,0
22/03/2016,6192.74,6193.47,6110.39,6184.58,0,,0,,0,0,0
21/03/2016,6184.58,6215.3,6154.12,6189.64,0,,0,,0,0,0
18/03/2016,6189.64,6237.02,6186.24,6201.12,0,,0,,0,0,0
17/03/2016,6201.12,6220.02,6125.7,6175.49,0,,0,,0,0,0
16/03/2016,6175.49,6186.18,6134.27,6139.97,0,,0,,0,0,0
15/03/2016,6139.97,6174.57,6114.77,6174.57,0,,0,,0,0,0
14/03/2016,6174.57,6197.83,6139.79,6139.79,0,,0,,0,0,0
11/03/2016,6139.79,6150.88,6036.7,6036.7,0,,0,,0,0,0
10/03/2016,6036.7,6203.4,6036.7,6146.32,0,,0,,0,0,0
09/03/2016,6146.32,6174.82,6118.23,6125.44,0,,0,,0,0,0
08/03/2016,6125.44,6182.45,6101.89,6182.4,0,,0,,0,0,0
07/03/2016,6182.4,6216.1,6125.64,6199.43,0,,0,,0,0,0
04/03/2016,6199.43,6204.14,6130.46,6130.46,0,,0,,0,0,0
03/03/2016,6130.46,6173.7,6108.35,6147.06,0,,0,,0,0,0
01/03/2016,6152.88,6153.75,6070.51,6097.09,0,,0,,0,0,0
29/02/2016,6097.09,6104.98,6033.21,6096.01,0,,0,,0,0,0
26/02/2016,6096.01,6115.37,6012.81,6012.81,0,,0,,0,0,0
25/02/2016,6012.81,6028.97,5867.18,5867.18,0,,0,,0,0,0
24/02/2016,5867.18,5966.73,5845.55,5962.31,0,,0,,0,0,0
23/02/2016,5962.31,6037.73,5954.18,6037.73,0,,0,,0,0,0
22/02/2016,6037.73,6065.81,5950.23,5950.23,0,,0,,0,0,0
19/02/2016,5950.23,6001.22,5916.26,5971.95,0,,0,,0,0,0
18/02/2016,5971.95,6036.46,5948.25,6030.32,0,,0,,0,0,0
17/02/2016,6030.32,6030.32,5862.17,5862.17,0,,0,,0,0,0
16/02/2016,5862.17,5880.72,5812.49,5824.28,0,,0,,0,0,0
15/02/2016,5824.28,5844.53,5707.6,5707.6,0,,0,,0,0,0
12/02/2016,5707.6,5707.6,5536.97,5536.97,0,,0,,0,0,0
11/02/2016,5536.97,5672.3,5499.51,5672.3,0,,0,,0,0,0
10/02/2016,5672.3,5712.78,5616.88,5632.19,0,,0,,0,0,0
09/02/2016,5632.19,5739.25,5596.26,5689.36,0,,0,,0,0,0
08/02/2016,5689.36,5882.43,5666.13,5848.06,0,,0,,0,0,0
05/02/2016,5848.06,5945.9,5839.36,5898.76,0,,0,,0,0,0
04/02/2016,5898.76,5938.12,5831.12,5837.14,0,,0,,0,0,0
03/02/2016,5837.14,5924.58,5791.04,5922.01,0,,0,,0,0,0
02/02/2016,5922.01,6060.45,5889.6,6060.1,0,,0,,0,0,0
01/02/2016,6060.1,6115.11,5993.84,6083.79,0,,0,,0,0,0
30/01/2016,6083.79,6083.79,5931.78,5931.78,0,,0,,0,0,0
29/01/2016,6001.31,6020.92,5931.78,5931.78,0,,0,,0,0,0
28/01/2016,5939.25,6012.4,5921.14,5990.37,0,,0,,0,0,0
27/01/2016,5990.37,5990.37,5870.75,5911.46,0,,0,,0,0,0
26/01/2016,5911.46,5919.17,5771.37,5877,0,,0,,0,0,0
25/01/2016,5877,5933.47,5851.83,5900.01,0,,0,,0,0,0
22/01/2016,5900.01,5926.94,5773.79,5773.79,0,,0,,0,0,0
21/01/2016,5773.79,5781.24,5659.15,5673.58,0,,0,,0,0,0
20/01/2016,5673.58,5876.8,5639.88,5876.8,0,,0,,0,0,0
19/01/2016,5876.8,5915.69,5779.92,5779.92,0,,0,,0,0,0
18/01/2016,5779.92,5852.09,5766.5,5804.1,0,,0,,0,0,0
15/01/2016,5804.1,5934.62,5769.23,5918.23,0,,0,,0,0,0
14/01/2016,5918.23,5960.97,5829.26,5960.97,0,,0,,0,0,0
13/01/2016,5960.97,6011.13,5929.24,5929.24,0,,0,,0,0,0
12/01/2016,5955.66,5955.85,5866.67,5871.83,0,,0,,0,0,0
11/01/2016,5871.83,5941.93,5871.83,5912.44,0,,0,,0,0,0
08/01/2016,5912.44,6013.38,5912.44,5954.08,0,,0,,0,0,0
07/01/2016,5954.08,6073.38,5887.97,6073.38,0,,0,,0,0,0
06/01/2016,6073.38,6137.24,6018.65,6137.24,0,,0,,0,0,0
05/01/2016,6137.24,6166.26,6079.23,6093.43,0,,0,,0,0,0
04/01/2016,6093.43,6242.32,6071.01,6242.32,0,,0,,0,0,0
31/12/2015,6242.32,6278.31,6233.03,6274.05,0,,0,,0,0,0
30/12/2015,6274.05,6314.57,6261.48,6314.57,0,,0,,0,0,0
29/12/2015,6314.57,6314.57,6245.24,6254.64,0,,0,,0,0,0
24/12/2015,6254.64,6259.86,6236.85,6240.98,0,,0,,0,0,0
23/12/2015,6240.98,6248.5,6083.1,6083.1,0,,0,,0,0,0
22/12/2015,6083.1,6090.58,6031.82,6034.84,0,,0,,0,0,0
18/12/2015,6052.42,6105.57,6051.74,6102.54,0,,0,,0,0,0
17/12/2015,6102.54,6160.78,6061.19,6061.19,0,,0,,0,0,0
16/12/2015,6061.19,6089.31,6016.25,6017.79,0,,0,,0,0,0
15/12/2015,6017.79,6036.68,5874.06,5874.06,0,,0,,0,0,0
14/12/2015,5961.89,6009.92,5947.71,5952.78,0,,0,,0,0,0
11/12/2015,5952.78,6088.05,5949.84,6088.05,0,,0,,0,0,0
10/12/2015,6088.05,6127.09,6079.96,6126.68,0,,0,,0,0,0
09/12/2015,6126.68,6175.75,6101.22,6135.22,0,,0,,0,0,0
08/12/2015,6135.22,6224.86,6120.68,6223.52,0,,0,,0,0,0
07/12/2015,6223.52,6287.23,6215.17,6238.29,0,,0,,0,0,0
04/12/2015,6238.29,6277.59,6219.5,6275,0,,0,,0,0,0
03/12/2015,6275,6444.72,6275,6420.93,0,,0,,0,0,0
02/12/2015,6420.93,6447.34,6395.2,6395.65,0,,0,,0,0,0
01/12/2015,6395.65,6402.36,6356.09,6356.09,0,,0,,0,0,0
30/11/2015,6356.09,6387.11,6329.92,6375.15,0,,0,,0,0,0
27/11/2015,6375.15,6393.13,6345.3,6393.13,0,,0,,0,0,0
26/11/2015,6393.13,6395.33,6333.92,6337.64,0,,0,,0,0,0
25/11/2015,6337.64,6348.05,6277.23,6277.23,0,,0,,0,0,0
24/11/2015,6277.23,6305.49,6221.33,6305.49,0,,0,,0,0,0
23/11/2015,6305.49,6334.63,6267.05,6334.63,0,,0,,0,0,0
20/11/2015,6334.63,6360.73,6311.76,6329.93,0,,0,,0,0,0
19/11/2015,6329.93,6366.85,6278.97,6278.97,0,,0,,0,0,0
18/11/2015,6278.97,6283.9,6228.15,6268.76,0,,0,,0,0,0
17/11/2015,6268.76,6269.44,6146.38,6146.38,0,,0,,0,0,0
16/11/2015,6146.38,6161.9,6079.79,6118.28,0,,0,,0,0,0
13/11/2015,6118.28,6178.95,6088.76,6178.68,0,,0,,0,0,0
11/11/2015,6297.2,6327.16,6272.69,6275.28,0,,0,,0,0,0
10/11/2015,6275.28,6329.69,6250.31,6295.16,0,,0,,0,0,0
09/11/2015,6295.16,6380.42,6292.05,6353.83,0,,0,,0,0,0
06/11/2015,6353.83,6395.19,6332.73,6364.9,0,,0,,0,0,0
05/11/2015,6364.9,6421.81,6358.12,6412.88,0,,0,,0,0,0
04/11/2015,6412.88,6459.46,6383.04,6383.61,0,,0,,0,0,0
03/11/2015,6383.61,6383.61,6344.7,6361.8,0,,0,,0,0,0
02/11/2015,6361.8,6364.42,6317.29,6361.09,0,,0,,0,0,0
31/10/2015,6361.09,6410.28,6337.65,6395.8,0,,0,,0,0,0
30/10/2015,6360.85,6410.28,6359.26,6395.8,0,,0,,0,0,0
29/10/2015,6395.8,6437.85,6358.16,6437.8,0,,0,,0,0,0
28/10/2015,6437.8,6448.46,6355.78,6365.27,0,,0,,0,0,0
27/10/2015,6365.27,6419.62,6365.27,6417.02,0,,0,,0,0,0
26/10/2015,6417.02,6453,6405.38,6444.08,0,,0,,0,0,0
23/10/2015,6444.08,6487.89,6376.28,6376.28,0,,0,,0,0,0
22/10/2015,6376.28,6387.28,6321.65,6348.42,0,,0,,0,0,0
21/10/2015,6348.42,6387.29,6316.3,6345.13,0,,0,,0,0,0
20/10/2015,6328.37,6367.75,6319.25,6352.33,0,,0,,0,0,0
19/10/2015,6352.33,6408.09,6336.27,6378.04,0,,0,,0,0,0
16/10/2015,6378.04,6398.23,6338.67,6338.67,0,,0,,0,0,0
15/10/2015,6338.67,6351.43,6269.61,6269.61,0,,0,,0,0,0
14/10/2015,6269.61,6342.28,6268.29,6342.28,0,,0,,0,0,0
