date,close,high,low,open,volume
14/04/2016,17001.4,17071.2,16975.9,17048,0
13/04/2016,17048,17048,16794.5,16795.3,0
12/04/2016,16795.3,16795.3,16706.2,16778.8,0
11/04/2016,16778.8,16858.1,16760.7,16829.7,0
08/04/2016,16829.7,16875.9,16702.9,16714.2,0
07/04/2016,16714.2,16920.6,16692.2,16866.1,0
06/04/2016,16866.1,16872.8,16725.6,16725.6,0
05/04/2016,16725.6,16845.6,16689.7,16845.6,0
04/04/2016,16845.6,16908.8,16813.7,16843.7,0
01/04/2016,16843.7,16926.1,16723.8,16926.1,0
31/03/2016,16943,16977.7,16885.2,16975,0
30/03/2016,16975,16994.2,16756.3,16756.3,0
29/03/2016,16756.3,16756.3,16669.7,16674.3,0
24/03/2016,16674.3,16865.3,16671,16864.6,0
23/03/2016,16864.6,16955.4,16836.1,16903.9,0
22/03/2016,16903.9,16903.9,16732.1,16862.8,0
21/03/2016,16862.8,16975.7,16833.2,16901.3,0
18/03/2016,16901.3,16948.1,16829.3,16849,0
17/03/2016,16849,16875.6,16673.1,16752.8,0
16/03/2016,16752.8,16789.9,16634.8,16634.8,0
15/03/2016,16634.8,16698.8,16618.9,16693.1,0
14/03/2016,16693.1,16733.4,16595.1,16595.3,0
11/03/2016,16595.3,16617.9,16385.2,16385.2,0
10/03/2016,16385.2,16713,16385.2,16591.6,0
09/03/2016,16591.6,16656.9,16564.5,16654,0
08/03/2016,16654,16831.8,16640,16831.4,0
07/03/2016,16831.4,16983,16795.2,16931.2,0
04/03/2016,16931.2,16932.7,16745.6,16745.6,0
03/03/2016,16745.6,16799.2,16672.2,16729,0
01/03/2016,16789.49,16789.49,16603.08,16603.08,0
29/02/2016,16603.08,16603.08,16445.46,16567.04,0
26/02/2016,16567.04,16604.4,16399.07,16399.07,0
25/02/2016,16399.07,16435.58,16117.5,16117.5,0
24/02/2016,16117.5,16230.05,16061.19,16229.2,0
23/02/2016,16229.2,16336.58,16209.24,16288.8,0
22/02/2016,16288.8,16350.87,16158.06,16158.06,0
19/02/2016,16158.06,16225.37,16069.16,16176.75,0
18/02/2016,16176.75,16242.73,16095.6,16156.33,0
17/02/2016,16156.33,16161.68,15699.01,15702.29,0
16/02/2016,15702.29,15822.98,15648.28,15728.1,0
15/02/2016,15728.1,15764.08,15431.31,15431.31,0
12/02/2016,15431.31,15462.37,15175.6,15178.8,0
11/02/2016,15178.8,15512.54,15142.31,15512.54,0
10/02/2016,15512.54,15644.59,15316.71,15316.93,0
09/02/2016,15316.93,15566.02,15203.9,15497.99,0
08/02/2016,15497.99,16023.8,15471.87,16002.28,0
05/02/2016,16002.28,16251.96,16002.28,16086.73,0
04/02/2016,16086.73,16156.42,15913.27,15992.42,0
03/02/2016,15992.42,16300.98,15896.44,16299.68,0
02/02/2016,16299.68,16491.74,16228.84,16489.26,0
