date,close,high,low,open,volume
08/04/2016,4303.12,4315.59,4258.51,4259.1,0
07/04/2016,4245.91,4316.78,4229.12,4288.71,0
06/04/2016,4284.64,4284.64,4243.02,4262.3,0
05/04/2016,4250.28,4285.73,4241.61,4283.14,0
04/04/2016,4345.22,4378.05,4280.9,4311.19,0
01/04/2016,4322.24,4331.28,4261.25,4331.28,0
30/03/2016,4444.42,4466.5,4387.36,4387.36,0
29/03/2016,4371.01,4374.13,4354.03,4354.03,0
24/03/2016,4342.15,4392.81,4337.73,4390.11,0
23/03/2016,4329.68,4392.81,4323.18,4390.11,0
22/03/2016,4431.97,4431.97,4358.57,4396.87,0
21/03/2016,4427.8,4481.11,4415.93,4425.84,0
18/03/2016,4462.51,4472.73,4418.49,4452.04,0
17/03/2016,4442.89,4501.68,4367.44,4494.4,0
16/03/2016,4463,4502.96,4446.99,4486.7,0
15/03/2016,4472.63,4488.78,4450.16,4474.26,0
14/03/2016,4506.59,4535.91,4494.6,4501.81,0
11/03/2016,4492.79,4492.79,4421.95,4430.24,0
10/03/2016,4350.35,4580.97,4350.35,4432.56,0
09/03/2016,4425.65,4458.77,4397.98,4405.95,0
08/03/2016,4404.02,4437.17,4363.55,4405.16,0
07/03/2016,4442.29,4458.82,4406.9,4436.37,0
04/03/2016,4456.62,4480.21,4413.93,4437.82,0
03/03/2016,4416.08,4430.9,4392.58,4407.95,0
01/03/2016,4406.84,4406.95,4328.8,4343.93,0
29/02/2016,4353.55,4354.62,4254.77,4275.84,0
26/02/2016,4314.57,4352.39,4292.52,4297.87,0
25/02/2016,4248.45,4268.66,4198.09,4219.8,0
24/02/2016,4155.34,4233.3,4117.49,4232.48,0
23/02/2016,4238.42,4301.92,4236.95,4272.22,0
22/02/2016,4298.7,4303.9,4259.26,4260.62,0
19/02/2016,4223.04,4255.57,4182.33,4232.22,0
18/02/2016,4239.76,4279.19,4212.59,4216.51,0
17/02/2016,4233.47,4238.33,4112.04,4119.35,0
16/02/2016,4110.66,4157.3,4086.83,4157.3,0
15/02/2016,4115.25,4144.81,4076.81,4086.29,0
12/02/2016,3995.06,3995.06,3922.71,3949.16,0
11/02/2016,3896.71,3998.1,3892.46,3960.42,0
10/02/2016,4061.2,4115.17,3987.49,4027.08,0
09/02/2016,3997.54,4091.88,3951.29,4072.32,0
08/02/2016,4066.31,4220.85,4046.64,4217.45,0
05/02/2016,4200.67,4269.47,4187.97,4236.07,0
04/02/2016,4228.53,4279.12,4176.48,4276.17,0
03/02/2016,4226.96,4294.41,4177.97,4282.41,0
02/02/2016,4283.99,4377.57,4253.51,4368.92,0
01/02/2016,4392.33,4422.61,4350.09,4418.14,0
29/01/2016,4417.02,4417.02,4340.19,4381.6,0
28/01/2016,4322.16,4403.68,4284.38,4362.55,0
