date,close,high,low,open,volume
08/04/2016,9622.26,9675.03,9572.57,9576.4,0
07/04/2016,9530.62,9702.18,9484.75,9648.55,0
06/04/2016,9624.51,9635.91,9505.9,9582.46,0
05/04/2016,9563.36,9661.3,9553.17,9647.81,0
04/04/2016,9822.08,9907.05,9732.82,9789.77,0
01/04/2016,9794.64,9851.31,9675.5,9833.26,0
30/03/2016,10046.6,10097.7,9947.26,9951.68,0
29/03/2016,9930.26,9947.03,9900.88,9900.88,0
24/03/2016,9882.63,9976.53,9866.13,9974.6,0
23/03/2016,9851.35,9977.99,9845.37,9974.6,0
22/03/2016,9990,9990,9762.57,9836.28,0
21/03/2016,9948.64,10095.5,9863.83,9893.26,0
18/03/2016,9950.8,9961.48,9822.52,9905.67,0
17/03/2016,9892.2,10055.3,9753.04,10051.7,0
16/03/2016,9983.41,10021.7,9917.92,9971.04,0
15/03/2016,9933.85,9973.58,9890.12,9941.46,0
14/03/2016,9990.26,10039.6,9936.06,9948.21,0
11/03/2016,9831.13,9833.9,9642.79,9672.05,0
10/03/2016,9498.15,9995.84,9498.15,9697.64,0
09/03/2016,9723.09,9838.95,9679.19,9700.16,0
08/03/2016,9692.82,9785.05,9617.69,9688.47,0
07/03/2016,9778.93,9803.73,9690,9764.08,0
04/03/2016,9824.17,9899.11,9742.76,9800.86,0
03/03/2016,9751.92,9808.52,9709.68,9807.06,0
01/03/2016,9717.16,9719.02,9471.09,9482.66,0
29/02/2016,9495.4,9498.57,9332.42,9424.93,0
26/02/2016,9513.3,9576.88,9436.33,9454.52,0
25/02/2016,9331.48,9391.31,9199.09,9277.02,0
24/02/2016,9167.8,9415.33,9125.19,9396.48,0
23/02/2016,9416.77,9535.12,9405.22,9503.12,0
22/02/2016,9573.59,9581.45,9477.69,9481.37,0
19/02/2016,9388.05,9474.02,9319.1,9420.51,0
18/02/2016,9463.64,9551.87,9349.95,9428.01,0
17/02/2016,9377.21,9394.62,9156.14,9174.28,0
16/02/2016,9135.11,9269.06,9079.19,9242.75,0
15/02/2016,9206.84,9249.46,9134.76,9163.54,0
12/02/2016,8967.51,8967.51,8815.77,8854.4,0
11/02/2016,8752.87,8899.57,8699.29,8887.89,0
10/02/2016,9017.29,9128.54,8875.45,8937.98,0
09/02/2016,8879.4,9041.9,8772.88,8980.71,0
08/02/2016,8979.36,9337.52,8937.98,9329.87,0
05/02/2016,9286.23,9469.71,9250.84,9375.29,0
04/02/2016,9393.36,9539.92,9270.09,9522.67,0
03/02/2016,9434.82,9577.2,9350.98,9541.53,0
02/02/2016,9581.04,9729.23,9536.97,9721.18,0
01/02/2016,9757.88,9827.1,9638.58,9823.73,0
29/01/2016,9798.11,9798.38,9656.36,9772.58,0
28/01/2016,9639.59,9905.08,9594.8,9826.28,0
27/01/2016,9880.82,9880.82,9728.64,9781.42,0
26/01/2016,9822.75,9867.18,9563.64,9599.56,0
25/01/2016,9736.15,9800.49,9681.7,9790.44,0
22/01/2016,9764.88,9837.62,9704.9,9762.55,0
21/01/2016,9574.16,9656.33,9348.74,9400.69,0
20/01/2016,9391.64,9490.45,9314.57,9430.13,0
19/01/2016,9664.21,9756.14,9626.65,9722.64,0
18/01/2016,9521.85,9657.94,9457.95,9542.6,0
15/01/2016,9545.27,9832.92,9459.09,9778.36,0
14/01/2016,9794.2,9884.27,9614.77,9836.85,0
13/01/2016,9960.96,10164.05,9929.07,10112.35,0
12/01/2016,9985.43,10092.67,9832.82,9832.82,0
11/01/2016,9825.07,9978.69,9813.02,9814.04,0
08/01/2016,9849.34,10122.46,9849.34,10010.47,0
07/01/2016,9979.85,10145.47,9810.47,10144.17,0
06/01/2016,10214.02,10288.68,10094.18,10288.68,0
05/01/2016,10310.1,10384.26,10173.52,10373.27,0
04/01/2016,10283.44,10485.91,10248.58,10485.81,0
30/12/2015,10743.01,10857.43,10743.01,10855.17,0
29/12/2015,10860.14,10860.14,10731.63,10744.96,0
28/12/2015,10653.91,10756.17,10627.46,10748.37,0
23/12/2015,10727.64,10743.32,10595.27,10623.56,0
22/12/2015,10488.75,10623.98,10400.61,10598.19,0
21/12/2015,10497.77,10796.03,10497.77,10607.2,0
18/12/2015,10608.19,10735.85,10543.05,10639.98,0
17/12/2015,10738.12,10829.62,10656.39,10685.3,0
16/12/2015,10469.26,10572.55,10423.78,10476.06,0
15/12/2015,10450.38,10482.75,10237.48,10239.8,0
14/12/2015,10139.34,10448.65,10122.95,10406.71,0
11/12/2015,10340.06,10596.03,10294.25,10572.86,0
10/12/2015,10598.93,10662.77,10500.03,10547.52,0
09/12/2015,10592.49,10719.7,10554.54,10719.7,0
08/12/2015,10673.6,10895.5,10616.24,10872.68,0
07/12/2015,10886.09,10992.55,10806.52,10832.42,0
04/12/2015,10752.1,10814.82,10632.77,10770.16,0
03/12/2015,10789.24,11318.8,10780.63,11173.79,0
02/12/2015,11190.02,11329.79,11188.03,11301.51,0
01/12/2015,11276.99,11430.38,11235.97,11422.47,0
30/11/2015,11382.23,11430.87,11253.37,11268.31,0
27/11/2015,11293.76,11354.01,11247.14,11277.91,0
26/11/2015,11320.77,11366.37,11176.56,11180.94,0
25/11/2015,11169.54,11186.68,10921.71,10958.4,0
24/11/2015,10933.99,11064.96,10878.96,11064.78,0
23/11/2015,11092.31,11126.34,11049.99,11105.92,0
20/11/2015,11119.83,11164.3,11059.95,11061.88,0
19/11/2015,11082.87,11150.74,11045.53,11061.88,0
18/11/2015,10937.12,10989.55,10877.6,10901.74,0
17/11/2015,10971.04,10971.04,10782.91,10810.92,0
16/11/2015,10713.23,10763.65,10608.83,10609.14,0
13/11/2015,10708.4,10811.78,10607.46,10764.57,0
12/11/2015,10789.22,10957.61,10735.17,10895.74,0
11/11/2015,10907.87,10994.54,10843.68,10843.68,0
10/11/2015,10832.52,10863.56,10728.95,10846.96,0
09/11/2015,10815.45,10995.48,10807.17,10993.24,0
06/11/2015,11026.27,11055.45,10856.11,10873.6,0
05/11/2015,10887.74,10963.9,10784.28,10847.5,0
04/11/2015,10845.24,10990.72,10825.55,10957.06,0
03/11/2015,10951.15,10972.28,10883.94,10945.35,0
02/11/2015,10950.67,10977.18,10744.37,10749.98,0
30/10/2015,10790.06,10850.58,10755.83,10842.52,0
29/10/2015,10800.84,10886.98,10741.14,10867.19,0
28/10/2015,10831.96,10848.41,10691.63,10728.16,0
27/10/2015,10692.19,10807.41,10692.19,10761.37,0
26/10/2015,10801.34,10863.09,10756.83,10791.18,0
23/10/2015,10794.54,10847.47,10586.96,10610.33,0
22/10/2015,10490.66,10491.32,10194.74,10213.01,0
21/10/2015,10238.1,10277.59,10107.92,10185.42,0
20/10/2015,10147.68,10194.53,10080.19,10174.8,0
19/10/2015,10164.31,10205.03,10084.61,10084.61,0
16/10/2015,10104.43,10166.79,10058.53,10128.81,0
15/10/2015,10064.8,10088.47,9957.39,9999.64,0
14/10/2015,9915.85,10036.23,9890.46,9948.49,0
13/10/2015,10032.82,10107.86,9939.96,10106.67,0
12/10/2015,10119.83,10187.09,10057.59,10128.49,0
09/10/2015,10075.79,10146.88,10049.39,10100.78,0
08/10/2015,9993.07,10027.42,9911.05,9942.78,0
06/10/2015,9902.83,9957.92,9730.41,9804.42,0
05/10/2015,9814.79,9854.77,9647.17,9691.65,0
02/10/2015,9553.07,9667.54,9396.34,9606.59,0
01/10/2015,9509.25,9788.27,9471.36,9757.04,0
30/09/2015,9660.44,9732.54,9596.95,9674.61,0
29/09/2015,9450.4,9536.63,9325.05,9346.04,0
28/09/2015,9483.55,9677.25,9479.4,9633.68,0
25/09/2015,9688.53,9745.77,9585.33,9594.53,0
24/09/2015,9427.64,9707.69,9362.28,9599.91,0
23/09/2015,9612.62,9712.46,9492.86,9578.1,0
22/09/2015,9570.66,9974.8,9558.96,9974.41,0
21/09/2015,9948.51,10000.62,9785.11,9860.84,0
18/09/2015,9916.16,10180.55,9861.51,10177.58,0
17/09/2015,10229.58,10273.27,10208.51,10269.32,0
16/09/2015,10227.21,10336.2,10173.96,10288.39,0
15/09/2015,10188.13,10244.86,10070.16,10154.76,0
14/09/2015,10131.74,10225.37,10084.87,10112.9,0
11/09/2015,10168.23,10195.46,10079.03,10160.87,0
10/09/2015,10210.44,10326.53,10157.37,10216.02,0
09/09/2015,10303.12,10512.61,10301.18,10489.29,0
08/09/2015,10271.36,10371.9,10198.45,10198.6,0
07/09/2015,10108.61,10184.57,10055.14,10148.8,0
04/09/2015,10038.04,10216.17,9996.16,10216.17,0
03/09/2015,10317.84,10380.36,10145.73,10161.36,0
02/09/2015,10048.05,10122.27,9962.25,10060.31,0
01/09/2015,10015.57,10119.53,9928.65,10073.74,0
31/08/2015,10259.46,10273.5,10132.15,10200.98,0
28/08/2015,10298.53,10336.92,10196.36,10335.92,0
27/08/2015,10315.62,10382.95,10222.04,10271.33,0
26/08/2015,9997.43,10159.99,9853.12,9956.85,0
25/08/2015,10128.12,10185.88,9748.92,9816.59,0
24/08/2015,9648.43,9935.53,9338.2,9805.72,0
21/08/2015,10124.52,10437.28,10124.52,10228.7,0
20/08/2015,10432.19,10654.55,10400.99,10593.28,0
19/08/2015,10682.15,10848.84,10681.36,10819.85,0
18/08/2015,10915.92,10976.04,10883.11,10916.71,0
17/08/2015,10940.33,11113.79,10818.71,11044.75,0
14/08/2015,10985.14,11093.07,10911.19,11010.5,0
13/08/2015,11014.63,11153.96,10980.86,11098.17,0
12/08/2015,10924.61,11153.64,10892.88,11151.72,0
11/08/2015,11293.65,11561,11278.71,11548,0
10/08/2015,11604.78,11618.3,11431.76,11545.63,0
07/08/2015,11490.83,11582.9,11484.85,11561.37,0
06/08/2015,11585.1,11669.86,11574.97,11605.59,0
05/08/2015,11636.3,11655.74,11497.92,11503.21,0
04/08/2015,11456.07,11476.9,11380.81,11408.23,0
03/08/2015,11443.72,11460.4,11248.27,11295.5,0
31/07/2015,11308.99,11308.99,11173.17,11271.31,0
30/07/2015,11257.15,11313.27,11140.65,11305.46,0
29/07/2015,11211.85,11253.56,11123.25,11249.3,0
28/07/2015,11173.91,11242.43,11068.31,11129.91,0
27/07/2015,11056.4,11297.5,11052.86,11287.77,0
24/07/2015,11347.45,11542.9,11334.77,11467.83,0
23/07/2015,11512.11,11614.76,11453.62,11611.42,0
22/07/2015,11520.67,11589.64,11486.31,11511.19,0
21/07/2015,11604.8,11773.49,11583.88,11760,0
20/07/2015,11735.72,11802.37,11678.13,11679.47,0
17/07/2015,11673.42,11753.18,11649.94,11747.47,0
16/07/2015,11716.76,11787.58,11607.14,11624.48,0
15/07/2015,11539.66,11566.02,11475.96,11508.34,0
14/07/2015,11516.9,11519.36,11414.39,11456.54,0
13/07/2015,11484.38,11506.98,11421.82,11489.17,0
10/07/2015,11315.63,11339.78,11149.27,11170.71,0
09/07/2015,10996.41,11035.04,10784.47,10795.11,0
08/07/2015,10747.3,10802.8,10652.79,10710.29,0
07/07/2015,10676.78,10946.87,10663.99,10930.02,0
06/07/2015,10890.63,10996.45,10823.55,10825.06,0
03/07/2015,11058.39,11123.18,11005.76,11082.04,0
02/07/2015,11099.35,11229.01,11078.59,11191.28,0
01/07/2015,11180.5,11283.76,10979.21,11050.32,0
30/06/2015,10944.97,11137.14,10897.97,11058.04,0
29/06/2015,11083.2,11409.81,10964.24,11404.71,0
26/06/2015,11492.43,11561.83,11373.44,11387.13,0
25/06/2015,11473.13,11594.24,11352.4,11410.62,0
24/06/2015,11471.26,11589.35,11364.45,11566.35,0
23/06/2015,11542.54,11635.85,11517.12,11552.96,0
22/06/2015,11460.5,11470.25,11138.55,11138.71,0
19/06/2015,11040.1,11246.27,10997.9,11121.3,0
18/06/2015,11100.3,11109.76,10806.15,10937.67,0
17/06/2015,10978.01,11115.38,10947.37,11066.75,0
16/06/2015,11044.01,11074.34,10797.85,10910.01,0
15/06/2015,10984.97,11090.71,10952.74,11053.21,0
12/06/2015,11196.49,11365.92,11069.36,11286.56,0
11/06/2015,11332.78,11452.94,11236.58,11242.87,0
10/06/2015,11265.39,11299.61,10939.51,10970.41,0
09/06/2015,11001.29,11071.61,10864.68,11025.08,0
08/06/2015,11064.92,11224.56,11059.16,11131.86,0
05/06/2015,11197.15,11287.2,11155.01,11241.43,0
04/06/2015,11340.6,11449.7,11187.43,11370.57,0
03/06/2015,11419.62,11515.21,11300.36,11359.8,0
02/06/2015,11328.8,11467.07,11270.57,11467.07,0
01/06/2015,11436.05,11510.93,11345.1,11462.97,0
29/05/2015,11413.82,11704.39,11403.82,11685.66,0
28/05/2015,11677.57,11773.79,11605.99,11716.08,0
27/05/2015,11771.13,11790.35,11595.12,11647.04,0
26/05/2015,11625.13,11920.31,11586.35,11841.48,0
22/05/2015,11815.01,11881.81,11792.31,11881.49,0
21/05/2015,11864.59,11868.7,11758.81,11815.43,0
20/05/2015,11848.47,11871.49,11780.02,11858.47,0
19/05/2015,11853.33,11873.28,11706.85,11709.87,0
18/05/2015,11594.28,11594.96,11378.86,11464.8,0
15/05/2015,11447.03,11632.36,11383.23,11593.2,0
