date,close,high,low,open,volume
08/04/2016,2911.98,2921.25,2877.83,2877.83,0
07/04/2016,2871.57,2924.7,2860.32,2910.83,0
06/04/2016,2909.36,2911.56,2882.21,2894.73,0
05/04/2016,2890.35,2951.58,2887.35,2951.58,0
04/04/2016,2962.28,2993.71,2930.25,2948.62,0
01/04/2016,2953.28,2984.36,2916.96,2984.36,0
30/03/2016,3044.1,3062.71,3013.7,3013.7,0
29/03/2016,3004.87,3023.42,2983.45,2993.9,0
24/03/2016,2986.73,3036.02,2985.06,3036.02,0
23/03/2016,2986.73,3036.02,2985.06,3036.02,0
22/03/2016,3051.23,3051.23,2997.11,3034.35,0
21/03/2016,3048.77,3088.08,3031.07,3049.12,0
18/03/2016,3059.77,3067.97,3022.27,3043.29,0
17/03/2016,3043.1,3089.58,2990.37,3087.31,0
16/03/2016,3062.05,3087.72,3045.53,3069.29,0
15/03/2016,3067.21,3084.33,3053.49,3084.33,0
14/03/2016,3091.98,3116.32,3079.77,3082.09,0
11/03/2016,3073.8,3074.7,2997.34,2997.34,0
10/03/2016,2970.78,3128.71,2970.78,3017.8,0
09/03/2016,3016.18,3047.38,3001.96,3003.81,0
08/03/2016,3002.01,3026.04,2968.51,3014.15,0
07/03/2016,3021.09,3033.6,2997.26,3029.89,0
04/03/2016,3037.35,3056.22,3012.02,3018.18,0
03/03/2016,3012.87,3027.7,2996.72,3023.79,0
01/03/2016,2996.39,2996.78,2930.24,2944.77,0
29/02/2016,2945.75,2946.74,2879.6,2911.24,0
26/02/2016,2929.16,2951.13,2893.12,2893.12,0
25/02/2016,2877.42,2892.82,2832.56,2832.56,0
24/02/2016,2820.24,2887.13,2801.43,2885.89,0
23/02/2016,2887.38,2934.52,2886.34,2929.14,0
22/02/2016,2933.91,2936.23,2877.64,2877.64,0
19/02/2016,2871.05,2903.32,2844.32,2895.06,0
18/02/2016,2895.15,2936.32,2883.53,2909.49,0
17/02/2016,2897.72,2900.7,2822.32,2823.67,0
16/02/2016,2821.26,2860.27,2804.25,2844.05,0
15/02/2016,2833.87,2855.12,2786.21,2786.21,0
12/02/2016,2756.16,2756.16,2689.98,2689.98,0
11/02/2016,2680.35,2782.02,2672.73,2782.02,0
10/02/2016,2789.05,2827.95,2734.08,2748.24,0
09/02/2016,2736.5,2809.41,2710.89,2789.28,0
08/02/2016,2785.17,2894.47,2772.7,2885.56,0
05/02/2016,2879.39,2932.85,2869.92,2908,0
04/02/2016,2905.3,2936.12,2866.19,2906.82,0
03/02/2016,2896.63,2948.18,2862.4,2945.5,0
02/02/2016,2951.85,3014.98,2933.17,3014.98,0
01/02/2016,3021.01,3051.84,2989.88,3048.75,0
29/01/2016,3045.09,3045.09,2989.48,2989.48,0
28/01/2016,2979.42,3055.38,2955.86,3037.03,0
27/01/2016,3043.47,3043.47,2997.71,3024.83,0
26/01/2016,3032.84,3041.67,2945.31,2975.81,0
