date,close,high,low,open,volume
08/04/2016,331.86,332.41,328.62,328.62,0
07/04/2016,328.1,332.08,327.08,330.37,0
06/04/2016,330.65,330.65,327.77,328.73,0
05/04/2016,328.15,332.92,327.75,332.92,0
04/04/2016,334.49,336.7,331.33,332.78,0
01/04/2016,333.15,335.88,329.47,335.88,0
30/03/2016,341.18,342.5,338.14,338.14,0
29/03/2016,336.79,338.36,334.66,335.82,0
24/03/2016,335.1,339.05,334.71,339.05,0
23/03/2016,335.1,339.05,334.71,339.05,0
22/03/2016,340.3,340.3,335.42,339.54,0
21/03/2016,340.82,343.65,338.82,340.34,0
18/03/2016,341.71,342.44,339.31,340.91,0
17/03/2016,340.68,342.29,334.76,341.75,0
16/03/2016,341,342.42,338.75,340.91,0
15/03/2016,340.86,343.23,340.09,343.23,0
14/03/2016,344.66,346.1,342.96,342.96,0
11/03/2016,342.23,342.31,335.8,335.8,0
10/03/2016,333.5,347.64,333.5,339.64,0
09/03/2016,339.14,341.81,337.79,338.28,0
08/03/2016,337.48,340.29,336.19,339.75,0
07/03/2016,340.93,342.37,338.45,341.43,0
04/03/2016,341.8,343.67,339.09,339.76,0
03/03/2016,339.42,341.26,338.35,341.24,0
01/03/2016,338.72,338.87,332.41,333.76,0
29/02/2016,333.92,334.13,327.47,330.34,0
26/02/2016,331.54,333.23,328.01,328.01,0
25/02/2016,326.54,327.8,321.79,321.79,0
24/02/2016,320.23,326.99,318.49,326.99,0
23/02/2016,327.78,331.86,327.51,331.06,0
22/02/2016,331.82,332.42,327.33,327.33,0
19/02/2016,326.37,329.73,324.08,328.21,0
18/02/2016,328.91,332.11,326.87,329.5,0
17/02/2016,328.77,328.81,320.45,320.45,0
16/02/2016,320.37,324.25,318.62,322.76,0
15/02/2016,321.76,322.87,315.97,315.97,0
12/02/2016,312.41,312.41,305.55,305.55,0
11/02/2016,303.58,313.65,302.59,313.65,0
10/02/2016,315.19,318.39,309.05,310.28,0
09/02/2016,309.39,316.55,306.12,314.68,0
08/02/2016,314.36,327.76,313.24,326.78,0
05/02/2016,325.9,331.15,325.36,328.3,0
04/02/2016,328.76,332.95,324.66,330.64,0
03/02/2016,329.43,335.1,326.01,334.64,0
02/02/2016,334.59,341.13,332.89,341.13,0
01/02/2016,341.61,344.08,338.14,343.51,0
29/01/2016,342.27,342.27,336.46,337.1,0
28/01/2016,334.89,341.31,332.78,339.72,0
27/01/2016,340.24,340.24,335.86,338.69,0
26/01/2016,339.2,339.83,329.49,333.51,0
25/01/2016,336.27,339.6,334.85,338.99,0
22/01/2016,338.36,340.53,330.73,330.73,0
21/01/2016,328.51,330.22,321.69,322.51,0
