Date,Close,High,Low,Open,Volume
13/11/2015,77.73,79.43,77.64,79.32,11377220
12/11/2015,79.83,80.59,79.77,80.08,6075739
11/11/2015,80.58,81.25,80.41,81.23,7086711
10/11/2015,81.06,81.06,80.08,80.19,7331430
9/11/2015,80.3,81.3,79.74,81.04,7009554
6/11/2015,81.42,81.61,80.9,81.2,6593217
5/11/2015,81.41,81.65,80.81,81.24,6964685
4/11/2015,81.12,81.87,80.71,81.79,6265877
3/11/2015,81.65,81.86,81.18,81.25,7283512
2/11/2015,81.34,81.46,80.75,81.26,7734965
30/10/2015,80.97,81.5,80.75,80.96,7771070
29/10/2015,80.8,80.94,79.69,80.46,4724772
28/10/2015,80.57,80.57,79.52,80.12,11357916
27/10/2015,79.81,80.1,79.46,80,4471166
26/10/2015,80.19,80.33,79.6,79.66,6025021
23/10/2015,79.63,80.41,79.21,80.34,7895090
22/10/2015,79.24,79.39,78.55,78.7,8227518
21/10/2015,78.21,78.94,78.11,78.76,5012405
20/10/2015,78.56,78.91,78.31,78.55,5013842
19/10/2015,78.66,78.7,78,78.07,4928655
16/10/2015,78.29,78.32,77.8,77.85,5319156
15/10/2015,77.88,77.88,76.72,77.31,5703160
14/10/2015,76.88,77.94,76.71,77.67,7015941
13/10/2015,77.67,78.5,77.57,77.83,7581497
12/10/2015,78.09,78.3,77.76,77.77,5488967
9/10/2015,77.72,77.79,77.28,77.65,8352650
8/10/2015,77.63,77.74,76.33,76.36,6341600
7/10/2015,76.69,76.88,75.95,76.6,7794334
6/10/2015,76.43,77.26,76.07,76.75,9086048
5/10/2015,77,77.14,76.17,76.43,7018012
2/10/2015,75.88,75.88,73.55,73.65,8201806
1/10/2015,74.81,74.82,73.67,74.3,8362690
30/9/2015,74.26,74.34,73.04,73.38,10798607
29/9/2015,72.31,73.1,71.86,72.58,6177144
28/9/2015,72.55,74.46,72.37,74.19,12015407
25/9/2015,74.7,75.7,74.34,75.53,5854032
24/9/2015,74.71,74.82,73.68,74.47,6978707
23/9/2015,74.91,75.31,74.66,75.1,5385582
