Date,Close,High,Low,Open,Volume
13/11/2015,47.83,48.33,47.79,48.11,9112391
12/11/2015,48.25,48.84,48.25,48.79,8473552
11/11/2015,48.91,49.22,48.9,48.9,7264720
10/11/2015,48.98,49.06,48.8,48.8,7438649
9/11/2015,48.85,49.02,48.58,48.94,7895965
6/11/2015,49.18,49.58,48.82,49.49,13747249
5/11/2015,49.72,49.8,49.44,49.68,9691771
4/11/2015,49.73,50.09,49.54,50,8067588
3/11/2015,49.94,50.07,49.59,49.89,12452943
2/11/2015,50.18,50.19,49.84,49.91,13054043
30/10/2015,49.88,50.28,49.87,50.28,8577051
29/10/2015,50.44,50.55,50.16,50.4,5606876
28/10/2015,50.42,50.73,49.88,50.72,10430877
27/10/2015,50.71,50.71,50.32,50.48,5126177
26/10/2015,50.64,50.84,50.56,50.74,8893020
23/10/2015,50.74,51.13,50.46,51,13360200
22/10/2015,50.82,50.89,49.95,50.03,13590342
21/10/2015,49.83,50.17,49.73,49.73,14418907
20/10/2015,49.82,49.91,49.74,49.84,6078420
19/10/2015,49.85,49.86,49.48,49.63,6284328
16/10/2015,49.63,49.68,49.19,49.2,6921941
15/10/2015,49.16,49.19,48.82,49.02,5255634
14/10/2015,48.72,49.4,48.61,49.2,10771192
13/10/2015,49.29,49.57,49.22,49.5,10162638
12/10/2015,49.59,49.7,49.43,49.48,5652597
9/10/2015,49.46,49.61,49.3,49.44,12459529
8/10/2015,49.35,49.37,48.61,48.7,12447140
7/10/2015,48.77,48.86,48.4,48.56,11943952
6/10/2015,48.33,48.73,48.31,48.56,9443980
5/10/2015,48.66,48.72,48.04,48.19,10515836
2/10/2015,47.84,47.86,46.69,46.93,13196654
1/10/2015,47.19,47.33,46.84,47.22,13766236
30/9/2015,47.19,47.35,46.87,46.95,12715608
29/9/2015,46.76,46.93,46.48,46.91,15304069
28/9/2015,46.78,47.46,46.69,47.36,15815963
25/9/2015,47.48,47.96,47.3,47.45,12257293
24/9/2015,47.18,47.25,46.73,46.75,7740110
