Date,Close,High,Low,Open,Volume
13/11/2015,65.98,66.58,65.2,66.03,17779635
12/11/2015,66.25,67.31,66.13,66.84,19311471
11/11/2015,67.79,69.34,67.63,69.25,14369715
10/11/2015,69.26,69.87,68.56,68.82,12685449
9/11/2015,69.11,70.41,68.82,69.64,12686994
6/11/2015,69.8,70.08,68.77,69.54,13761216
5/11/2015,70.16,71.19,69.84,70.41,16233508
4/11/2015,70.76,71.67,70.23,71.47,17718800
3/11/2015,71.4,71.93,70.08,70.11,21327171
2/11/2015,69.62,69.98,67.52,67.62,15386861
30/10/2015,68.03,68.76,67.15,67.95,14257248
29/10/2015,67.59,68.22,66.9,67,9753598
28/10/2015,67.25,67.7,65.72,66.25,19756479
27/10/2015,65.79,66.01,65.11,65.67,21107334
26/10/2015,66.59,68.13,66.57,68.13,11836061
23/10/2015,68.26,68.9,67.66,68.1,15631001
22/10/2015,68.42,68.59,67.55,67.58,18740747
21/10/2015,67.21,68.08,67.14,67.75,14662111
20/10/2015,68.05,68.37,67.36,67.72,13756519
19/10/2015,67.86,68.58,67.5,68.54,19500234
16/10/2015,69.23,69.56,68.28,69.38,20031249
15/10/2015,69.14,69.17,67.38,67.61,19508207
14/10/2015,67.92,68.17,67.04,67.19,15176740
13/10/2015,67.34,68.35,67.15,67.53,20837816
12/10/2015,68.05,69.06,67.43,69.05,21746249
9/10/2015,68.94,69.62,68.51,69.54,25985668
8/10/2015,69.39,69.67,67.54,67.96,27071722
7/10/2015,68.09,68.94,66.7,68.1,40003076
6/10/2015,67.24,67.74,65.66,66.01,27466390
5/10/2015,65.78,66,64.59,64.65,23806985
2/10/2015,63.85,63.89,60.51,60.62,19929759
1/10/2015,61.32,62.66,60.77,61.98,17445508
30/9/2015,61.2,61.43,60.27,60.34,16128089
29/9/2015,59.79,60.66,59.39,60.17,18881223
28/9/2015,59.88,61.72,59.83,61.72,16351433
25/9/2015,62.37,62.94,61.81,62.94,15833436
24/9/2015,62.25,62.68,61.09,61.5,18911999
23/9/2015,61.98,63.32,61.95,63.03,13984709
22/9/2015,62.79,63.45,62.35,62.48,17050396
21/9/2015,63.46,63.93,63.06,63.77,15689677
18/9/2015,63.1,64.05,62.72,63.58,21236946
17/9/2015,65.28,66.44,64.86,65.37,19822670
16/9/2015,65.32,65.41,63.93,64.03,17216657
