Date,Close,High,Low,Open,Volume
13/11/2015,23.92,24.17,23.85,24,43767506
12/11/2015,24.12,24.44,24.11,24.43,54100304
11/11/2015,24.49,24.68,24.47,24.68,22401596
10/11/2015,24.57,24.58,24.36,24.4,33403153
9/11/2015,24.46,24.82,24.32,24.76,48066100
6/11/2015,24.73,24.97,24.64,24.94,69501345
5/11/2015,24.48,24.52,24.34,24.38,36748012
4/11/2015,24.38,24.51,24.31,24.45,32575609
3/11/2015,24.45,24.53,24.29,24.4,34507885
2/11/2015,24.41,24.51,24.13,24.14,59733138
30/10/2015,24.08,24.39,24.05,24.37,51070358
29/10/2015,24.43,24.55,24.3,24.45,39382280
28/10/2015,24.46,24.5,23.95,23.95,91030257
27/10/2015,23.9,23.95,23.82,23.92,23285260
26/10/2015,24.04,24.14,23.95,24.14,19890927
23/10/2015,24.14,24.15,23.96,24.07,37289562
22/10/2015,23.88,23.97,23.54,23.55,49719160
21/10/2015,23.5,23.78,23.46,23.7,23732929
20/10/2015,23.67,23.7,23.51,23.53,19448771
19/10/2015,23.53,23.58,23.39,23.4,26555900
16/10/2015,23.55,23.59,23.43,23.48,29685046
15/10/2015,23.41,23.44,23,23.02,45209158
14/10/2015,22.89,23.13,22.86,23.09,36363816
13/10/2015,23.08,23.33,23.08,23.18,34485788
12/10/2015,23.26,23.3,23.17,23.23,20562280
9/10/2015,23.24,23.46,23.14,23.44,47391690
8/10/2015,23.39,23.41,23.11,23.16,30249370
7/10/2015,23.25,23.38,23.08,23.22,31354208
6/10/2015,23.07,23.21,23.03,23.13,29800939
5/10/2015,23.18,23.21,22.84,22.86,38972776
2/10/2015,22.7,22.7,21.98,22.18,61207244
1/10/2015,22.67,22.76,22.43,22.65,39409430
30/9/2015,22.66,22.66,22.39,22.62,39875522
29/9/2015,22.32,22.38,22.12,22.3,39207385
28/9/2015,22.28,22.69,22.21,22.65,47459728
25/9/2015,22.81,22.96,22.7,22.8,45017222
24/9/2015,22.48,22.52,22.28,22.38,41649908
23/9/2015,22.64,22.72,22.51,22.64,28343744
22/9/2015,22.63,22.71,22.46,22.58,53075527
21/9/2015,22.92,23.01,22.77,22.81,38259451
18/9/2015,22.66,22.9,22.62,22.79,69285845
17/9/2015,23.22,23.69,23.17,23.53,61105967
16/9/2015,23.55,23.59,23.3,23.42,22752547
15/9/2015,23.4,23.47,23.07,23.16,33345453
14/9/2015,23.07,23.14,22.98,23.07,25862999
11/9/2015,23.12,23.12,22.86,22.91,21779014
10/9/2015,23.02,23.19,22.82,22.89,35271239
9/9/2015,22.91,23.54,22.86,23.44,35533482
8/9/2015,23.23,23.25,22.93,23.09,40394993
4/9/2015,22.65,22.85,22.5,22.78,44037443
3/9/2015,23.11,23.34,23.01,23.05,48963103
2/9/2015,22.98,23.04,22.68,22.97,42675581
1/9/2015,22.67,23.05,22.5,22.93,70101114
31/8/2015,23.43,23.58,23.41,23.48,47802710
28/8/2015,23.63,23.71,23.48,23.65,32776858
27/8/2015,23.74,23.79,23.28,23.47,78164031
26/8/2015,23.17,23.17,22.43,22.85,118648630
25/8/2015,22.33,23.48,22.25,23.46,68998091
24/8/2015,22.65,23.43,18.52,22.19,116695094
21/8/2015,23.64,24.39,23.64,24.21,103749725
20/8/2015,24.52,24.82,24.52,24.79,55021564
19/8/2015,25.05,25.27,24.96,25.21,46614198
18/8/2015,25.28,25.34,25.22,25.27,16446489
17/8/2015,25.3,25.31,25.05,25.14,23372125
14/8/2015,25.25,25.25,25.03,25.04,27297572
13/8/2015,25.07,25.16,24.88,25.04,22378231
12/8/2015,24.98,25.02,24.6,25,62964477
11/8/2015,25.21,25.29,25.11,25.2,53166667
10/8/2015,25.44,25.45,25.3,25.37,24505145
7/8/2015,25.2,25.23,24.99,25.13,24917827
6/8/2015,25.15,25.3,25.06,25.26,19432502
