Date,Close,High,Low,Open,Volume
13/11/2015,69.57,70.28,69.48,69.6,18196826
12/11/2015,69.74,70.89,69.74,70.78,10870840
11/11/2015,70.97,71.95,70.96,71.95,10580927
10/11/2015,71.68,71.84,71.08,71.22,9737401
9/11/2015,71.2,71.62,70.79,71.62,15624969
6/11/2015,71.75,71.82,70.92,71.61,12661051
5/11/2015,72.05,72.35,71.37,72.33,9171965
4/11/2015,72.28,72.88,71.84,72.86,11533043
3/11/2015,72.6,72.83,72.09,72.67,10428704
2/11/2015,72.86,72.91,71.34,71.75,18646619
30/10/2015,71.34,72.2,71.34,72.01,12427166
29/10/2015,71.79,73,71.49,71.88,22780683
28/10/2015,71.47,71.5,70.14,70.77,18157979
27/10/2015,70.88,70.88,69.78,69.79,25160920
26/10/2015,69.6,70.07,68.93,69.16,17831899
23/10/2015,69.33,69.69,68.3,68.58,26524171
22/10/2015,67.88,68.5,67.03,68.39,35524535
21/10/2015,68.29,69.57,67.16,69.3,36068323
20/10/2015,68.91,70.01,68.62,69.79,14802071
19/10/2015,70.01,70.2,69.15,69.53,15694684
16/10/2015,69.76,69.86,69.16,69.33,17656979
15/10/2015,69.14,69.14,67.18,67.26,22133323
14/10/2015,67.63,68.68,67.44,68.12,21786239
13/10/2015,67.76,69.19,67.69,68.31,17273345
12/10/2015,68.62,68.84,68.05,68.14,11074523
9/10/2015,68.44,68.73,67.94,68.24,13890014
8/10/2015,68.13,68.35,66.87,67.54,23182733
7/10/2015,67.93,68.26,66.53,67.35,27466142
6/10/2015,66.86,68.45,65.91,68.25,30431551
5/10/2015,68.47,69.02,67.8,68.88,18389806
2/10/2015,68.29,68.3,65.72,66.03,23741758
1/10/2015,66.9,66.95,65.75,66.39,19853143
30/9/2015,66.23,66.42,65.38,65.84,26565616
29/9/2015,64.88,65.98,64.08,64.46,31776031
28/9/2015,64.29,66.6,63.73,66.46,66470176
25/9/2015,66.88,69.52,66.34,69.31,30973747
24/9/2015,68.76,69.17,67.99,68.9,20064475
23/9/2015,69.47,70.12,69.11,69.6,9578719
22/9/2015,69.54,69.66,68.76,69.01,29233976
21/9/2015,69.97,71.57,69.5,71.4,23860059
18/9/2015,70.91,71.67,70.81,71.02,23715976
17/9/2015,72.27,73.26,71.55,71.55,19148977
16/9/2015,71.62,71.75,70.91,71.45,12003378
15/9/2015,71.42,71.59,70.5,70.76,8414579
14/9/2015,70.41,70.78,70.09,70.65,6232241
11/9/2015,70.63,70.66,69.69,69.89,7633029
10/9/2015,70.18,70.71,69.32,69.54,17311034
9/9/2015,69.51,71.47,69.33,71.42,12423990
8/9/2015,70.6,70.7,69.52,69.94,11697448
4/9/2015,68.68,69.27,68.18,68.49,16587918
3/9/2015,69.55,70.84,69.39,70.45,14080063
2/9/2015,70.05,70.05,68.91,69.78,12491700
1/9/2015,68.64,69.76,68.32,68.64,21723623
31/8/2015,70.49,72.1,70.31,71.48,15143084
28/8/2015,71.8,72.24,71.23,71.85,10045598
27/8/2015,72.21,72.31,70.69,71.75,18689677
26/8/2015,70.83,70.9,68.17,69.84,26115647
25/8/2015,67.96,71.34,67.86,70.8,17883746
24/8/2015,68.65,71.07,56.63,67.39,33675689
21/8/2015,71.7,73.85,71.69,73.22,24008292
20/8/2015,73.96,75.45,73.96,75.16,12992869
19/8/2015,75.72,76.24,75.18,75.62,10070340
18/8/2015,76.03,76.44,75.91,76.06,5465905
17/8/2015,76.14,76.16,74.83,75.13,5795993
14/8/2015,75.38,75.42,74.8,74.96,5503959
13/8/2015,75.17,75.68,74.98,75.4,6329317
12/8/2015,75.34,75.42,73.9,74.72,9665895
11/8/2015,75.29,75.69,74.91,75.41,7914867
10/8/2015,75.93,76.26,75.57,75.57,7951120
7/8/2015,75.32,75.57,74.53,75.43,10863619
6/8/2015,75.45,77.27,75.38,77.2,13360150
5/8/2015,77.13,77.26,76.83,76.96,5391231
4/8/2015,76.49,76.95,76.25,76.91,10778684
3/8/2015,76.53,76.9,76.01,76.67,8447825
31/7/2015,76.59,76.93,76.39,76.44,7910277
30/7/2015,76.15,76.33,75.56,76.19,5381101
29/7/2015,76.26,76.61,75.94,76.46,9367016
28/7/2015,76.13,76.15,74.82,75.2,11445082
27/7/2015,74.78,74.93,74.39,74.67,11036985
24/7/2015,74.85,76.05,74.71,76,13229714
23/7/2015,76.77,77.35,76.62,77.19,5677435
22/7/2015,77.05,77.12,76.55,76.67,5765359
21/7/2015,76.88,77.39,76.53,77.19,8140190
20/7/2015,77.22,77.4,76.99,77.07,3874760
17/7/2015,76.97,77.07,76.66,77.05,3877857
16/7/2015,77.14,77.25,76.84,77.06,5109242
15/7/2015,76.78,77.26,76.56,76.92,6994934
14/7/2015,76.68,76.78,75.79,75.96,5831836
13/7/2015,75.92,76.08,75.61,75.82,7815118
10/7/2015,75.28,75.37,74.78,75.21,8059479
9/7/2015,74.28,74.87,74.24,74.68,6654595
8/7/2015,73.88,74.8,73.86,74.57,13074865
7/7/2015,75.17,75.17,73.88,74.91,10653269
6/7/2015,74.81,75.28,74.14,74.14,9352585
2/7/2015,74.84,75.41,74.7,75.36,5678771
1/7/2015,75.19,75.26,74.75,75.16,7756536
30/6/2015,74.39,74.95,74.15,74.93,8722219
29/6/2015,74.13,75.72,74.09,75.33,13675872
26/6/2015,75.99,76.5,75.72,76.21,6147481
25/6/2015,76.1,76.46,75.71,75.91,9232471
24/6/2015,75.68,76.42,75.68,76.35,7294405
23/6/2015,76.45,76.65,76.18,76.41,4631642
22/6/2015,76.3,76.66,76.21,76.27,6635028
19/6/2015,75.71,76,75.66,75.84,10327390
18/6/2015,76.03,76.28,75.08,75.11,9511182
17/6/2015,74.97,75.16,74.5,74.99,5132122
