Date,Close,High,Low,Open,Volume
13/11/2015,53.52,53.96,53.43,53.55,13959103
12/11/2015,53.76,54.48,53.75,54.12,19057064
11/11/2015,54.5,54.79,54.38,54.56,12916018
10/11/2015,54.43,54.61,53.98,54.22,18957346
9/11/2015,54.44,54.69,53.92,54.59,13570630
6/11/2015,54.86,54.87,54.28,54.54,15269296
5/11/2015,54.86,55,54.47,54.77,11531053
4/11/2015,54.79,55.1,54.68,54.91,9670911
3/11/2015,54.94,55.09,54.73,54.85,7486369
2/11/2015,54.9,55.01,54.28,54.28,15329028
30/10/2015,54.27,54.56,54.25,54.36,14763595
29/10/2015,54.34,54.42,54.03,54.05,13466132
28/10/2015,54.37,54.4,53.7,54.14,13933239
27/10/2015,53.94,54.2,53.83,54.09,14483647
26/10/2015,54.54,54.82,54.42,54.54,11294926
23/10/2015,54.66,54.86,54.31,54.78,13400850
22/10/2015,54.46,54.66,53.11,53.19,20908787
21/10/2015,52.98,53.58,52.9,53.03,16097800
20/10/2015,52.97,53.14,52.34,52.44,11314683
19/10/2015,52.62,52.68,52.27,52.35,8112310
16/10/2015,52.55,53,52.32,53,13954707
15/10/2015,52.82,52.85,52.2,52.63,13924821
14/10/2015,52.25,52.92,52.17,52.65,11827855
13/10/2015,52.82,53.31,52.8,53,10302451
12/10/2015,53.39,53.44,53.12,53.34,9030828
9/10/2015,53.38,53.76,53.2,53.76,33291022
8/10/2015,53.2,53.36,52.18,52.2,21823062
7/10/2015,52.47,52.71,51.96,52.06,15540397
6/10/2015,51.79,52.11,51.72,51.75,11798622
5/10/2015,51.84,51.96,50.71,51.15,10410502
2/10/2015,50.41,50.41,48.98,49.12,12274554
1/10/2015,49.78,50.13,49.31,49.82,10529662
30/9/2015,49.89,49.95,49.27,49.55,17662407
29/9/2015,49.15,49.33,48.81,49.09,15337797
28/9/2015,48.83,49.59,48.83,49.53,14443677
25/9/2015,49.81,50.22,49.6,50.22,10210312
24/9/2015,49.71,49.83,49.04,49.43,13891631
23/9/2015,50.02,50.49,49.84,50.38,7970925
22/9/2015,50.37,50.54,50.04,50.39,12687074
21/9/2015,51.11,51.45,50.87,51.14,10205156
18/9/2015,50.86,51.47,50.77,51.21,20172452
17/9/2015,52.29,53.12,52.16,52.45,18977405
16/9/2015,52.52,52.62,52.06,52.17,19320854
15/9/2015,52.14,52.24,51.35,51.46,7747124
14/9/2015,51.25,51.61,51.14,51.61,8436893
11/9/2015,51.51,51.51,50.99,51.18,6120089
10/9/2015,51.23,51.59,50.99,51.05,9686397
9/9/2015,51.2,53.05,51.12,52.19,8866218
8/9/2015,51.75,51.78,51.02,51.12,8437760
4/9/2015,50.36,50.66,50.18,50.66,10212517
3/9/2015,51.07,51.58,50.93,51.16,10907311
2/9/2015,51.04,51.05,50.21,50.69,18173204
1/9/2015,49.93,50.78,49.68,50.21,14607007
31/8/2015,51.29,51.73,51.11,51.39,13446838
28/8/2015,51.75,51.82,51.26,51.54,7899924
27/8/2015,51.73,51.77,50.47,50.98,21356594
26/8/2015,50.51,50.57,49.15,49.95,26147351
25/8/2015,48.98,51.49,48.95,50.62,25681278
24/8/2015,49.57,51.06,47.6,47.91,66306684
21/8/2015,51.46,52.57,51.46,52.33,27372912
20/8/2015,52.92,53.71,52.91,53.58,18301130
19/8/2015,54.04,54.52,53.85,54.38,9147270
18/8/2015,54.55,54.64,54.35,54.35,3844992
17/8/2015,54.65,54.65,53.87,54.12,5610970
14/8/2015,54.38,54.41,53.96,53.98,6666154
13/8/2015,54.04,54.22,53.82,54.11,4747203
12/8/2015,54.08,54.18,53.24,53.61,8130518
11/8/2015,54.07,54.32,53.86,54.08,10203208
10/8/2015,54.74,54.77,54.09,54.14,9164555
7/8/2015,53.69,53.95,53.52,53.84,8335211
6/8/2015,53.95,54.32,53.84,54.24,5672497
5/8/2015,54.23,54.58,54.15,54.21,8099729
4/8/2015,53.93,54.26,53.8,53.93,8623721
3/8/2015,53.96,54.23,53.69,54.12,14268352
31/7/2015,54.22,54.5,54.16,54.49,7504222
30/7/2015,54.27,54.32,53.97,54.03,5884461
29/7/2015,54.32,54.36,53.53,53.56,13128764
28/7/2015,53.66,53.74,52.84,52.84,15470321
27/7/2015,52.64,52.8,52.46,52.54,11680663
24/7/2015,52.9,53.62,52.81,53.58,10889114
23/7/2015,53.6,54.2,53.46,53.91,11547981
22/7/2015,54.1,54.52,53.96,54.25,7549157
21/7/2015,54.34,54.71,54.28,54.52,7287449
20/7/2015,54.93,55.05,54.84,54.92,5163093
17/7/2015,54.92,55.15,54.78,55.03,5506049
16/7/2015,54.94,55.11,54.84,55,8273040
15/7/2015,54.69,54.94,54.58,54.93,7249235
14/7/2015,54.92,55.01,54.61,54.71,9130440
13/7/2015,54.77,54.8,54.53,54.53,6754573
10/7/2015,54.17,54.37,53.96,54.14,8348005
9/7/2015,53.61,54.26,53.61,54.01,8918189
8/7/2015,53.48,54.08,53.35,53.92,12608911
7/7/2015,54.46,54.49,53.45,53.94,16635985
6/7/2015,54.02,54.38,53.77,53.86,10782511
2/7/2015,54.23,54.52,54.12,54.48,10477834
1/7/2015,54.33,54.7,54.06,54.6,10981592
30/6/2015,54.06,54.57,53.97,54.57,12494934
29/6/2015,54.03,54.84,54,54.63,13132849
26/6/2015,55.07,55.24,54.95,55.13,6424779
25/6/2015,54.97,55.57,54.96,55.35,8323286
24/6/2015,55.4,55.89,55.39,55.8,5976608
23/6/2015,55.92,56.17,55.84,56.14,3837368
22/6/2015,56.06,56.2,55.94,56.03,4913253
19/6/2015,55.72,56.09,55.72,55.88,8899766
18/6/2015,56.27,56.47,55.58,55.58,9470346
17/6/2015,55.71,55.83,55.26,55.59,10321010
16/6/2015,55.56,55.65,55.33,55.44,7514411
15/6/2015,55.51,55.73,55.25,55.56,8872425
12/6/2015,55.98,56.17,55.83,56.01,7799261
11/6/2015,56.31,56.34,56.05,56.14,5256705
10/6/2015,55.99,56.14,55.58,55.64,7293460
9/6/2015,55.44,55.68,55.3,55.39,5631723
8/6/2015,55.45,55.86,55.44,55.77,6920477
5/6/2015,55.86,55.92,55.5,55.71,9071843
4/6/2015,55.82,56.33,55.73,56.16,10183350
3/6/2015,56.45,56.64,56.13,56.31,7916980
2/6/2015,56.17,56.41,55.73,55.87,6126842
1/6/2015,56.06,56.25,55.67,55.99,8712908
29/5/2015,55.81,56.34,55.7,56.32,11798984
28/5/2015,56.37,56.54,56.16,56.5,5775316
27/5/2015,56.64,56.71,56.29,56.47,5498942
26/5/2015,56.28,56.81,56.14,56.81,7889870
22/5/2015,56.9,57.19,56.88,57.13,5835258
21/5/2015,57.16,57.28,56.78,56.78,6276681
20/5/2015,56.85,57.13,56.76,57.1,7064403
19/5/2015,57.06,57.29,56.98,57.01,6186887
18/5/2015,57.22,57.29,56.98,57.26,6643755
15/5/2015,57.11,57.27,56.94,57.14,6266250
14/5/2015,57.16,57.22,56.79,56.84,8698422
13/5/2015,56.59,56.97,56.51,56.68,7704328
12/5/2015,56.47,56.66,56.1,56.36,7542420
11/5/2015,56.53,56.76,56.48,56.56,5169762
8/5/2015,56.58,56.74,56.36,56.52,7025140
7/5/2015,55.92,56.05,55.46,55.46,10668317
6/5/2015,55.63,55.98,55.32,55.92,8247719
5/5/2015,55.66,56.52,55.6,56.23,10026905
4/5/2015,56.42,56.74,56.35,56.35,6096265
1/5/2015,56.33,56.36,55.81,55.89,11017898
30/4/2015,55.63,56.11,55.44,55.86,12970723
29/4/2015,56.12,56.63,55.79,56.63,9978698
28/4/2015,56.4,56.42,55.79,56.15,8348799
27/4/2015,56.3,56.54,56.22,56.4,8308560
24/4/2015,56.32,56.58,56.16,56.52,5148274
23/4/2015,56.56,56.8,56.31,56.33,7345195
22/4/2015,56.62,56.68,56.02,56.42,13779315
21/4/2015,56.38,56.72,56.14,56.54,8007659
20/4/2015,56.45,56.58,56,56,6734927
17/4/2015,55.8,56.21,55.6,56.21,11304081
16/4/2015,56.48,56.67,56.27,56.27,7164619
15/4/2015,56.6,56.83,56.52,56.52,7345353
14/4/2015,56.5,56.54,55.9,56.21,5845682
13/4/2015,56.43,56.99,56.4,56.81,6388685
10/4/2015,56.97,57.06,56.53,56.63,9486382
9/4/2015,56.18,56.28,55.64,55.7,8191222
8/4/2015,55.91,55.98,55.59,55.7,6526776
7/4/2015,55.72,56.14,55.72,55.88,5257212
6/4/2015,55.85,56.06,55.02,55.03,8204929
2/4/2015,55.43,55.76,55.25,55.26,6565718
1/4/2015,55.4,55.64,55.07,55.64,8788853
31/3/2015,55.77,56.9,55.74,55.9,6532240
30/3/2015,56.33,56.49,55.71,55.8,5838035
27/3/2015,55.55,55.63,55.2,55.25,4969410
26/3/2015,55.34,55.54,54.95,55.22,10123997
25/3/2015,55.49,56.6,55.49,56.6,9037266
24/3/2015,56.45,56.76,56.35,56.52,12607400
23/3/2015,56.64,57.22,56.64,57.22,7219230
20/3/2015,57.12,57.31,56.95,57.06,10878007
19/3/2015,57.06,57.35,56.84,57.33,10568565
18/3/2015,57.45,57.63,56.25,56.53,20049506
17/3/2015,56.78,56.94,56.58,56.71,8362080
16/3/2015,57.01,57.04,56.31,56.31,11142282
13/3/2015,56.08,56.54,55.74,56.5,11110506
12/3/2015,56.6,56.64,55.98,55.99,8721199
11/3/2015,55.88,56.16,55.84,56.06,9394675
10/3/2015,55.94,56.59,55.94,56.59,10087774
9/3/2015,56.99,57.09,56.46,56.46,6106961
6/3/2015,56.46,57.07,56.38,56.62,8247154
5/3/2015,57.24,57.3,57.03,57.24,4990963
4/3/2015,57.2,57.46,56.94,57.39,6262449
3/3/2015,57.65,57.89,57.42,57.89,7716029
2/3/2015,58.02,58.02,57.49,57.62,8560219
27/2/2015,57.49,57.84,57.49,57.71,7201523
26/2/2015,57.76,58.07,57.63,57.97,6443067
25/2/2015,58.02,58.23,57.94,58.09,4574121
24/2/2015,58.14,58.2,57.77,57.9,4989250
23/2/2015,57.91,58.11,57.8,58.1,6238322
20/2/2015,58.16,58.22,57.22,57.56,8557441
19/2/2015,57.67,57.8,57.39,57.39,5458042
18/2/2015,57.57,57.61,57.2,57.3,5806383
17/2/2015,57.25,57.36,56.98,57.04,4174430
13/2/2015,57.17,57.28,56.86,57,5922379
12/2/2015,56.91,56.96,56.51,56.57,6249088
11/2/2015,56.38,56.59,56.14,56.25,7058071
10/2/2015,56.36,56.46,55.89,56.35,9000366
9/2/2015,56.05,56.31,55.88,55.89,7112087
6/2/2015,56.2,56.68,56.07,56.38,6192209
5/2/2015,56.33,56.4,55.88,56.03,9193851
4/2/2015,55.85,56.2,55.68,56.11,10600107
3/2/2015,56.28,56.32,55.66,55.75,18896189
2/2/2015,55.38,55.44,54.21,54.71,19465857
30/1/2015,54.57,55.24,54.52,54.86,14649998
29/1/2015,55.47,55.57,54.53,54.9,14215107
28/1/2015,54.84,55.81,54.77,55.75,14674032
27/1/2015,55.32,55.64,54.87,55.01,12118532
26/1/2015,56.06,56.16,55.6,55.88,6037041
23/1/2015,55.98,56.39,55.94,56.06,10148531
22/1/2015,56.46,56.58,55.59,55.84,10950899
21/1/2015,55.57,55.69,54.92,54.96,8943537
