Date,Close,High,Low,Open,Volume
13/11/2015,42.37,43.12,42.36,43.07,15044928
12/11/2015,43.22,43.6,43.21,43.39,8033958
11/11/2015,43.6,43.94,43.53,43.72,8201149
10/11/2015,43.62,43.67,43.44,43.66,17273264
9/11/2015,43.91,44.21,43.7,44.21,10146232
6/11/2015,44.34,44.36,43.98,44.14,6868946
5/11/2015,44.19,44.58,44.1,44.36,6728787
4/11/2015,44.32,44.44,44.21,44.37,7298611
3/11/2015,44.27,44.43,43.82,43.9,6879046
2/11/2015,44.04,44.06,43.62,43.73,13743283
30/10/2015,43.65,44.02,43.64,44.01,9339523
29/10/2015,43.94,44,43.67,43.8,7609015
28/10/2015,44.06,44.06,43.48,43.61,14779552
27/10/2015,43.41,43.68,43.36,43.56,7678977
26/10/2015,43.66,43.79,43.5,43.79,8288147
23/10/2015,43.83,44,43.56,43.7,16691718
22/10/2015,42.64,42.73,42,42,14236003
21/10/2015,41.7,42.22,41.65,42.11,9417169
20/10/2015,42.02,42.14,41.85,41.96,5928927
19/10/2015,42.13,42.13,41.76,41.88,7092059
16/10/2015,41.97,42,41.72,42,7486266
15/10/2015,41.89,41.91,41.51,41.53,8421884
14/10/2015,41.36,41.61,41.25,41.32,12756050
13/10/2015,41.44,41.69,41.3,41.31,8951820
12/10/2015,41.53,41.6,41.35,41.57,6343682
9/10/2015,41.48,41.51,41.25,41.42,11376513
8/10/2015,41.3,41.38,40.75,40.95,15374751
7/10/2015,41.11,41.28,40.62,41.14,15218922
6/10/2015,40.92,41.01,40.72,40.73,9857852
5/10/2015,40.87,40.97,40.25,40.33,8568850
2/10/2015,40.08,40.08,38.92,39.06,14917041
1/10/2015,39.52,39.64,38.99,39.5,13518040
30/9/2015,39.5,39.56,39.09,39.2,12466813
29/9/2015,38.73,39.26,38.45,39,13103413
28/9/2015,38.9,39.7,38.88,39.64,12583343
25/9/2015,39.81,40.3,39.63,40.25,10828935
24/9/2015,39.88,39.99,39.22,39.43,11028166
23/9/2015,39.88,40.02,39.66,39.92,5678204
22/9/2015,39.78,39.97,39.53,39.81,12288203
21/9/2015,40.46,40.58,40.09,40.13,6960565
18/9/2015,40.06,40.48,39.97,40.11,18115054
17/9/2015,40.77,41.4,40.63,40.88,16782643
16/9/2015,41.05,41.09,40.78,40.83,7718131
15/9/2015,40.88,40.99,40.38,40.49,8805981
14/9/2015,40.36,40.67,40.26,40.63,7445376
11/9/2015,40.46,40.46,39.98,39.99,6859731
10/9/2015,40.27,40.5,39.79,39.81,13959372
9/9/2015,39.87,40.86,39.78,40.66,9652295
8/9/2015,40.4,40.43,39.95,40.05,9454634
4/9/2015,39.3,39.58,39.11,39.38,13780461
3/9/2015,39.91,40.42,39.79,40.1,11031133
2/9/2015,39.88,39.92,39.14,39.52,12685139
1/9/2015,38.94,39.72,38.75,39.38,21289046
31/8/2015,40.23,40.67,40.13,40.27,11050274
28/8/2015,40.6,40.67,40.25,40.34,13836134
27/8/2015,40.52,40.53,39.62,40.14,20105542
26/8/2015,39.6,39.66,38.12,38.45,34388362
25/8/2015,37.7,39.54,37.66,39.47,18605422
24/8/2015,38.14,39.61,31.32,37.01,36103937
21/8/2015,39.56,41,39.56,40.69,23666433
20/8/2015,41.13,41.89,41.13,41.71,13726872
19/8/2015,42.16,42.52,41.92,42.31,9227613
18/8/2015,42.44,42.62,42.39,42.56,4691890
17/8/2015,42.66,42.66,42.12,42.26,5591698
14/8/2015,42.42,42.46,42.07,42.1,5953004
13/8/2015,42.21,42.49,42.12,42.36,6643870
12/8/2015,42.33,42.41,41.44,41.83,10035699
11/8/2015,42.14,42.72,42.02,42.66,27344543
10/8/2015,42.78,42.82,42.31,42.31,5572027
7/8/2015,42.12,42.18,41.83,41.99,7912517
6/8/2015,42.09,42.68,41.94,42.51,6509876
5/8/2015,42.51,42.81,42.28,42.37,10392779
4/8/2015,42.1,42.35,41.94,42.31,7382741
3/8/2015,42.35,42.62,42.08,42.56,9198287
31/7/2015,42.58,42.84,42.5,42.77,10911997
30/7/2015,42.72,42.79,42.26,42.46,6808201
29/7/2015,42.64,42.73,42.21,42.36,8376345
28/7/2015,42.36,42.44,41.86,42.16,7887533
27/7/2015,41.98,42.29,41.92,42.02,8653585
24/7/2015,42.36,42.86,42.32,42.8,9746087
23/7/2015,42.59,42.97,42.49,42.8,6322622
22/7/2015,42.68,42.89,42.5,42.53,8591254
21/7/2015,43.38,43.6,43.34,43.45,5975225
20/7/2015,43.67,43.81,43.44,43.59,9309458
17/7/2015,43.44,43.44,43.09,43.15,7775002
16/7/2015,42.78,42.8,42.49,42.57,5206622
15/7/2015,42.24,42.37,42.12,42.21,6538481
14/7/2015,42.23,42.34,42.06,42.08,6126352
13/7/2015,42.07,42.1,41.69,41.7,7071532
10/7/2015,41.44,41.58,41.21,41.31,6748349
9/7/2015,40.79,41.53,40.79,41.42,8993801
8/7/2015,40.95,41.38,40.93,41.29,16160046
7/7/2015,41.63,41.69,40.85,41.65,19659913
6/7/2015,41.57,41.76,41.34,41.45,7509025
2/7/2015,41.74,41.88,41.58,41.8,5160664
1/7/2015,41.68,41.86,41.5,41.77,8149497
30/6/2015,41.4,41.69,41.29,41.67,11382948
29/6/2015,41.36,42.06,41.35,41.81,13107438
26/6/2015,42.26,42.64,42.14,42.59,10174298
25/6/2015,42.62,42.98,42.61,42.95,4913848
24/6/2015,42.72,43.07,42.72,42.82,4846785
23/6/2015,42.92,42.99,42.82,42.98,3993334
22/6/2015,42.89,43.02,42.78,42.9,5437990
19/6/2015,42.54,42.91,42.54,42.81,13434832
18/6/2015,43.09,43.16,42.68,42.69,8963184
17/6/2015,42.71,42.88,42.46,42.72,11023877
16/6/2015,42.69,42.74,42.32,42.39,9173344
15/6/2015,42.41,42.47,42.09,42.39,9179103
12/6/2015,42.67,42.91,42.63,42.84,6158829
11/6/2015,43.05,43.29,42.99,43.18,5644698
10/6/2015,43.03,43.12,42.47,42.47,8964836
9/6/2015,42.37,42.53,42.08,42.4,7706653
8/6/2015,42.47,42.95,42.39,42.94,8379498
5/6/2015,42.95,43.13,42.76,43.04,7727487
4/6/2015,43.09,43.5,42.99,43.25,8347252
3/6/2015,43.49,43.73,43.4,43.47,5657318
2/6/2015,43.4,43.6,43.12,43.33,5637768
1/6/2015,43.49,43.64,43.22,43.62,6936313
29/5/2015,43.37,43.71,43.26,43.69,7738375
28/5/2015,43.69,43.77,43.56,43.64,4664843
27/5/2015,43.78,43.81,43.1,43.13,12587062
26/5/2015,42.97,43.5,42.84,43.47,7924384
22/5/2015,43.6,43.71,43.49,43.49,3968539
21/5/2015,43.63,43.68,43.32,43.38,3713121
20/5/2015,43.44,43.67,43.28,43.44,11010945
19/5/2015,43.41,43.62,43.36,43.57,4565385
18/5/2015,43.52,43.6,43.19,43.25,3393310
15/5/2015,43.31,43.58,43.21,43.54,8468238
14/5/2015,43.45,43.47,43.06,43.1,6976158
13/5/2015,42.76,43.01,42.67,42.76,9306475
12/5/2015,42.58,42.77,42.21,42.58,7650527
11/5/2015,42.81,43.05,42.77,43,6046481
8/5/2015,43.03,43.06,42.78,42.85,9819247
7/5/2015,42.42,42.57,42.09,42.18,5640285
6/5/2015,42.11,42.71,41.86,42.63,9873883
5/5/2015,42.47,43.1,42.44,43.03,8104890
4/5/2015,43.14,43.36,43.12,43.2,7698750
1/5/2015,43.1,43.12,42.72,42.84,10548396
30/4/2015,42.58,43.09,42.41,42.96,8652555
